article_id,pmid,title,abstract,authors,journal,pub_year,language,source_file
PMID40001110,40001110,Traditional Chinese medicine in lung cancer treatment.,"Lung cancer remains a major global health challenge and one of the leading causes of cancer-related deaths worldwide. Despite significant advancements in treatment, challenges such as drug resistance, side effects, metastasis and recurrence continue to impact patient outcomes and quality of life. In response, there is growing interest in complementary and integrative approaches to cancer care. Traditional Chinese medicine (TCM), with its long history, abundant clinical experience, holistic perspective and individualized approach, has garnered increasing attention for its role in lung cancer prevention and management. This review provides a comprehensive overview of the advances in TCM for lung cancer treatment, covering its theoretical foundation, treatment principles, clinical experiences and evidence supporting its efficacy. We also provide a systematic summary of the preclinical mechanisms, through which TCM impacts lung cancer, including the induction of cell death, reversal of drug resistance, inhibition of metastasis and modulation of immune responses. Additionally, future prospects for TCM in lung cancer treatment are discussed, offering insights into its expanded application and integration with modern medicine to address this challenging disease.",Xi Zhichao; Dai Rongchen; Ze Yufei; Jiang Xue; Liu Mengfan; Xu Hongxi,Mol Cancer,2025,en,cancer_tcm.csv
PMID39341127,39341127,Nanodelivery system of traditional Chinese medicine bioactive compounds: Application in the treatment of prostate cancer.,"[BACKGROUND] The long history of clinical experience in China have confirmed the effectiveness of traditional Chinese medicine (TCM) in treating prostate cancer (PCa). Until now, several bioactive compounds with anti-PCa potential, such as curcumin, gallic acid, and quercetin, have been extracted from TCM. Recent studies have shown that encapsulating these TCM bioactive compounds into nano-delivery system enhanced their bioavailability and improved their ability to target PCa tumors. [PURPOSE] This review aims to summarize the anti-PCa effects and molecular mechanisms of TCM bioactive compounds and discuss the clinical application prospects and future research trends of nano-delivery system based on these compounds. [METHODS] Literatures focusing on the treatment of PCa using traditional Chinese medicine compounds via nano-drug delivery system were searched from Electronic databases, including PubMed, Web of Science, and Scopus until December 2023. [RESULTS] Polyphenols, alkaloids, terpenes, and quinones exhibit anti-PCa effects through various pathways. Notably, compounds like curcumin, gallic acid, quercetin, and tanshinone have been extensively studied in nano-delivery systems for anti-PCa purpose. Nano-delivery systems enhance the biological activity of free compounds and reduce toxic side effects, as well. Commonly used nanomaterials for delivering TCM compounds include polymer nanomaterials, liposomes, solid lipid nanoparticles, nanostructured lipid carriers, and niosomes. [CONCLUSION] Research on nano-delivery systems for TCM bioactive compounds holds promising prospects for anti-PCa therapy. However, extensive clinical trials are necessary to evaluate the effectiveness and safety of these nanodrugs.",Zou Bo; Long Yan; Gao Ruisong; Liu Qizhi; Tian Xuefei; Liu Bin; Zhou Qing,Phytomedicine,2024,en,cancer_tcm.csv
PMID39838407,39838407,Tailoring traditional Chinese medicine in cancer therapy.,"Cancer remains a formidable global health challenge, necessitating innovative therapeutic approaches to enhance treatment efficacy and reduce adverse effects. The traditional Chinese medicine (TCM), as an embodiment of ancient wisdom, has been validated to regulate the holistic human capacity against both internal and external ""evils"" in accordance with TCM principles. Therefore, it stands to reason to integrate TCM into current cancer therapy paradigms, such as chemotherapy, immunotherapy, and targeted therapy. This strategy conceptually intends to circumvent the inevitable side effects derived from present treatment, alleviate the discomfort, mollify the detrimental mood and synergize tumoricidal effects of distinct approaches. However, it is still vague whether TCM exert favorable function in cancer treatment. Therefore, it is imperative to retrieve and compile the existing literature on TCM in the realm of cancer, followed by a comprehensive recapitulation and synthesis of its core findings. Recently, with the advancement of contemporary biologic and medical theory and technology, it has become both feasible and imperative to elucidate the molecular signaling mechanisms and cellular biology underlying TCM. Specifically, leveraging TCM pharmaceutic components can not only directly impact tumor biology at the molecular level, but regulate the tumor immune environment through distinct pathways. Additionally, the administration of external TCM treatments such as acupuncture and moxibustion also demonstrates beneficial effects in cancer patients. Through comprehensive analysis, we demonstrated that TCM not only potentially increases the efficacy of conventional cancer treatments, but also significantly mitigates their toxic side effects, thereby prolonging patients' prognosis and improving their living quality. Furthermore, we have underscored the challenges and prospects associated with the integration of TCM into contemporary oncological practices, placing particular emphasis on the imperative for rigorous clinical trials and molecular investigations to substantiate the efficacy and safety of these combined therapeutic approaches. This synthesis aims to pave the way for a more integrated approach to cancer treatment rooted in both traditional wisdom and cutting-edge science.",Li Shuiquan; Chen Xi; Shi Hui; Yi Ming; Xiong Bing; Li Tianye,Mol Cancer,2025,en,cancer_tcm.csv
PMID39260710,39260710,"Traditional Chinese Medicine in the treatment of chronic atrophic gastritis, precancerous lesions and gastric cancer.","[ETHNOPHARMACOLOGICAL RELEVANCE] Chronic atrophic gastritis (CAG), precancerous lesions of gastric cancer (PLGC), and gastric cancer (GC), seriously threaten human health. Traditional Chinese medicine (TCM) has been employed in the treatment of chronic diseases for a long time and has shown remarkable efficacy. [AIM OF THE STUDY] Recently, there has been an increasing use of TCM in treating CAG, PLGC, and GC. The objective of this study is to compile a comprehensive overview of the existing research on the effects and molecular mechanisms of TCM, including formulas, single herbs, and active components. [MATERIALS AND METHODS] To obtain a comprehensive understanding of traditional use of TCM in treating these diseases, we reviewed ancient books and Chinese literature. In addition, keywords such as ""TCM"", ""CAG"", ""PLGC"", ""GC"", and ""active ingredients"" were used to collect modern research on TCM published in databases such as CNKI, Web of Science, and Pubmed up to April 2024. All collected information was then summarized and analyzed. [RESULTS] This study analyzed 174 articles, which covered the research progress of 20 TCM formulas, 14 single herbs, and 50 active ingredients in treating CAG, PLGC, and GC. Sources, effects, and molecular mechanisms of the TCM were summarized. [CONCLUSIONS] This article reviews the progress of TCM in the management of CAG, PLGC, and GC, which will provide a foundation for the clinical application and further development of TCM.",Liu Yuxi; Huang Tingting; Wang Lu; Wang Yuan; Liu Yang; Bai Jingyi; Wen Xinli; Li Ye; Long Kaihua; Zhang Hong,J Ethnopharmacol,2025,en,cancer_tcm.csv
PMID33601147,33601147,Traditional Chinese medicine and lung cancer--From theory to practice.,"With the continuous breakthroughs in molecular biology and biochemistry, we have constantly made great progress in the treatment of lung cancer. There is no doubt that standard treatment (such as surgery, radiotherapy, chemotherapy, targeted therapy, and immunotherapy) has greatly improved the prognosis of lung cancer populations. In particular, the immunotherapy has brought more and more good news to countless lung cancer patients. In contrast to these standard treatments, traditional Chinese medicine (TCM) rarely has a profound and comprehensive overview in the field of lung cancer. This article will summarize the latest progress of TCM in lung cancer which is mainly non-small cell lung cancer (NSCLC) from theory to clinical practice, which would carry forward the sophisticated TCM and promote the development of modern medicine.",Li Zhang; Feiyue Zhang; Gaofeng Li,Biomed Pharmacother,2021,en,cancer_tcm.csv
PMID40750898,40750898,Traditional Chinese medicine in the treatment of breast Cancer.,"Breast cancer (BC) is the most commonly diagnosed malignancy among women globally. While treatments such as chemotherapy and endocrine therapy have contributed to improving survival rates, there remains a critical need for more effective therapeutic options. Traditional Chinese Medicine (TCM), with a history spanning thousands of years, has long been utilized in the management of BC. This includes a wide range of practices, such as the use of traditional compound prescriptions, Chinese medicine monomers and extracts, acupuncture, moxibustion, and mind-body therapies. This review summarizes the brief history and experience of TCM in treating BC refer to numerous ancient Chinese medical texts, and explores the role of various TCM approaches in the treatment of BC, providing an in-depth analysis of their potential benefits. Additionally, it addresses the current limitations and challenges in researching TCM's effectiveness for BC. Through this review, we aim to offer valuable insights into how TCM can complement conventional therapies and enhance outcomes for patients with BC.",Song Peng; Liu Tongtong; Zhang Yinfang; Shao Tingting; Li Rongkun; An Chaoxia; Cao Lu-Qi; Chen Zhe-Sheng; Guo Wenjing; Duan Dongzhu,Mol Cancer,2025,en,cancer_tcm.csv
PMID40061592,40061592,"Traditional Chinese medicine for chronic atrophic gastritis: Efficacy, mechanisms and targets.","Chronic atrophic gastritis (CAG) is an important stage of precancerous lesions of gastric cancer. Effective treatment and regulation of CAG are essential to prevent its progression to malignancy. Traditional Chinese medicine (TCM) has shown multi-targeted efficacy in CAG treatment, with advantages in enhancing gastric mucosal barrier defense, improving microcirculation, modulating inflammatory and immune responses, and promoting lesion healing,. Clinical studies and meta-analyses indicate that TCM provides significant benefits, with specific Chinese herbal compounds and monomers demonstrating protective effects on the gastric mucosa through mechanisms including anti-inflammation, anti-oxidation, and regulation of cellular proliferation and apoptosis,. Finally, it is pointed out that the efficacy of TCM in the treatment of CAG requires standardized research and unified standards, and constantly clarifies and improves the evaluation criteria of each dimension of gastric mucosal barrier function.",Wang Li; Lian Yan-Jie; Dong Jin-Sheng; Liu Ming-Kun; Liu Hong-Liang; Cao Zheng-Min; Wang Qing-Nan; Lyu Wen-Liang; Bai Yu-Ning,World J Gastroenterol,2025,en,cancer_tcm.csv
PMID39354529,39354529,Traditional Chinese medicine for the treatment of cancers of hepatobiliary system: from clinical evidence to drug discovery.,"Hepatic, biliary, and pancreatic cancer pose significant challenges in the field of digestive system diseases due to their highly malignant nature. Traditional Chinese medicine (TCM) has gained attention as a potential therapeutic approach with long-standing use in China and well-recognized clinical benefits. In this review, we systematically summarized the clinical applications of TCM that have shown promising results in clinical trials in treating hepatic, biliary, and pancreatic cancer. We highlighted several commonly used TCM therapeutics with validated efficacy through rigorous clinical trials, including Huaier Granule, Huachansu, and Icaritin. The active compounds and their potential targets have been thoroughly elucidated to offer valuable insights into the potential of TCM for anti-cancer drug discovery. We emphasized the importance of further research to bridge the gap between TCM and modern oncology, facilitating the development of evidence-based TCM treatment for these challenging malignancies.",Wu Junyu; Tang Guoyi; Cheng Chien-Shan; Yeerken Ranna; Chan Yau-Tuen; Fu Zhiwen; Zheng Yi-Chao; Feng Yibin; Wang Ning,Mol Cancer,2024,en,cancer_tcm.csv
PMID34929576,34929576,Traditional Chinese medicine for precancerous lesions of gastric cancer: A review.,"Gastric cancer (GC) is the fifth most common type of cancer and the third leading cause of death due to cancer worldwide. The gastric mucosa often undergoes many years of precancerous lesions of gastric cancer (PLGC) stages before progressing to gastric malignancy. Unfortunately, there are no effective Western drugs for patients with PLGC. In recent years, traditional Chinese medicine (TCM) has been proven effective in treating PLGC. Classical TCM formulas and chemical components isolated from some Chinese herbal medicines have been administered to treat PLGC, and the main advantage is their comprehensive intervention with multiple approaches and multiple targets. In this review, we focus on recent studies using TCM treatment for PLGC, including clinical observations and experimental research, with a focus on targets and mechanisms of drugs. This review provides some ideas and a theoretical basis for applying TCM to treat PLGC and prevent GC.",Xu Weichao; Li Bolin; Xu Miaochan; Yang Tianxiao; Hao Xinyu,Biomed Pharmacother,2022,en,cancer_tcm.csv
PMID39354520,39354520,Chinese herbal medicine for the treatment of intestinal cancer: preclinical studies and potential clinical applications.,"Intestinal cancer (IC) poses a significant global health challenge that drives continuous efforts to explore effective treatment modalities. Conventional treatments for IC are effective, but are associated with several limitations and drawbacks. Chinese herbal medicine (CHM) plays an important role in the overall cancer prevention and therapeutic strategies. Recent years have seen a growing body of research focus on the potential of CHM in IC treatment, showing promising results in managing IC and mitigating the adverse effects of radiotherapy and chemotherapy. This review provides updated information from preclinical research and clinical observation on CHM's role in treatment of IC, offering insights into its comprehensive management and guiding future prevention strategies and clinical practice.",Zhang Juan; Wu Yulin; Tian Yuanyang; Xu Hongxi; Lin Zhi-Xiu; Xian Yan-Fang,Mol Cancer,2024,en,cancer_tcm.csv
