article_id,pmid,title,abstract,authors,journal,pub_year,language,source_file
PMID39399124,39399124,Network Pharmacology and Experimental Verification: SanQi-DanShen Treats Coronary Heart Disease by Inhibiting the PI3K/AKT Signaling Pathway.,"[OBJECTIVE] To employee network pharmacology to predict the components and pathways of SanQi-DanShen (SQDS) in treating coronary heart disease, followed by in vitro experiments to validate the molecular mechanism of SQDS in treating coronary heart disease. [METHODS] We sourced the active ingredients and targets of Panax notoginseng and Danshen from the Traditional Chinese Medicine Systems Pharmacology database. Coronary heart disease related genes were retrieved from the OMIM, Genecards, and Therapeutic Target databases. Using Cytoscape 3.7.2 software, we constructed a network diagram illustrating the components and targets of SQDS. The associated targets were then imported into the STRING database to build a protein-protein interaction network. The Metascape database and WeChat software were utilized for Gene Ontology and Kyoto Encyclopedia of Genes and Genomes enrichment analyses. Lastly, we performed molecular docking between the key components and related targets using AutoDock Vina. To validate the potential mechanism of SQDS in treating coronary heart disease, we established an acute coronary heart disease rat model via tail vein injection of pituitrin. [RESULTS] Network pharmacology analysis revealed that 65 active ingredients and 167 targets of SQDS are implicated in the treatment of coronary heart disease. The key targets identified include AKT1, TNF, TP53, IL6, and VEGFA. Notably, the PI3K/AKT signaling pathway emerged as the primary pathway. Furthermore, animal experiments showed that, compared to the model group, SQDS significantly reduced levels of TNF-α, IL-6, Bax, and cardiac troponin I, while increasing Bcl-2 content. It also notably suppressed the expression of p-PI3K and p-AKT, thereby offering protection to myocardial tissue. [CONCLUSION] Through the integrated approach of network pharmacology and molecular docking, we have established that SQDS exerts a multi-component, multi-target, and multi-pathway synergistic therapeutic effect on coronary heart disease. Its mechanism may involve the inhibition of the PI3K/AKT signaling pathway and the reduction of inflammatory factor expression.",Zhao Min; Feng Liuxiang; Li Wenhua,Drug Des Devel Ther,2024,en,chd_tcm.csv
PMID33011372,33011372,Dingxin Recipe IV attenuates atherosclerosis by regulating lipid metabolism through LXR-α/SREBP1 pathway and modulating the gut microbiota in ApoE,"[ETHNOPHARMACOLOGICAL RELEVANCE] Dingxin Recipe (DXR) is a traditional Chinese medicine formula that has been reported to be effective and safe treatment for cardiovascular diseases, such as arrhythmias, coronary heart disease. Dingxin Recipe IV (DXR IV) was further improved from the DXR according to the traditional use. However, the mechanism of DXR IV in atherosclerosis is unclear. [AIM OF THE STUDY] This study aimed to illustrate whether DXR IV improve atherosclerosis through modulating the lipid metabolism and gut microbiota in atherosclerosis mice. [MATERIALS AND METHODS] 40 male ApoEmice were fed on HFD for 12 weeks and were then treated with DXR IV (1.8, 0.9, or 0.45 g/kg/d) for another 12 weeks. The decroation of DXR IV contains four traditional Chinese medicines: the dried rhizome of Coptis chinensis Franch. (15.09%), the root of Salvia miltiorrhiza Bunge (28.30%), the seed of Ziziphus jujuba Mill. (37.74%) and the fruiting body of Ganoderma lucidum (Leyss.ex Fr.) Karst. (18.87%). 8 male c57BL/6 mice fed a normal diet served as control group. The atherosclerotic plaque was quantified by oil-red O staining and masson trichrome staining. Mice feces were collected. The gut micobiota were detected by 16S rRNA gene sequencing and fecal metabolites were analyzed byH NMR spectroscopy. The effect of DXR IV on blood lipids (TG, TC, LDL-C, HDL-C) was investigated. The lipid metabolism related genes were determined by RT-qPCR and western blotting respectively. [RESULTS] DXR IV exerted the anti-atherosclerosis effect by inhibiting the excessive cholesterol deposition in aorta and regulating the level of TG, TC, LDL-C and HDL-C. The composition of gut microbiota was changed. Interestingly, the relative abundance of Muribaculaceae and Ruminococcaceae increased after DXR IV administration, whereas the abundance of Erysipelotrichaceae decreased, which have been beneficial to lipid metabolism. Nine potential metabolic biomarkers, including acetate, butyrate, propionate, alanine, succinate, valerate, xylose, choline, glutamate, were identified, which were related to fatty acid metabolism. Further, the pathway of fatty acid was detected by the RT-qPCR and western blotting. Compared with model group, the level of LXR-α and SREBP1 decreased significantly in DXR IV group while LXR-β, SREBP2 showed no statistical significance. It indicated that DXR IV modulated lipid metabolism by LXR-α/SREBP1 but not LXRβ and SREBP2. [CONCLUSIONS] DXR IV exhibits potential anti-atherosclerosis effect, which is closely related to lipid metabolism and the gut microbiota. This study may provide novel insights into the mechanism of DXR IV on atherosclerosis and a basis for promising clinical usage.",Zhang Yaxin; Gu Yuyan; Chen Yihao; Huang Zhiyong; Li Mei; Jiang Weihao; Chen Jiahui; Rao Wenting; Luo Shangfei; Chen Yuyao; Chen Junqi; Li Lijun; Jia Yuhua; Liu Menghua; Zhou Fenghua,J Ethnopharmacol,2021,en,chd_tcm.csv
PMID31171266,31171266,Metabolomics and its application in the treatment of coronary heart disease with traditional Chinese medicine.,"Traditional Chinese Medicine (TCM) is the treasure of Chinese Nation and gained the gradual acceptance of the international community. However, the methods and theories of TCM understanding of diseases are lack of appropriate modern scientific characterization systems. Moreover, traditional risk factors cannot promote to detection and prevent those patients with coronary artery disease (CAD) who have not developed acute myocardial infarction (MI) in time. To sum up, there is still no objective systematic evaluation system for the therapeutic mechanism of TCM in the prevention and cure of cardiovascular disease. Thus, new ideas and technologies are needed. The development of omics technology, especially metabolomics, can be used to predict the level of metabolites in vivo and diagnose the physiological state of the body in time to guide the corresponding intervention. In particular, metabolomics is also a very powerful tool to promote the modernization of TCM and the development of TCM in personalized medicine. This article summarized the application of metabolomics in the early diagnosis, the discovery of biomarkers and the treatment of TCM in CAD.",Wu Gao-Song; Li Hou-Kai; Zhang Wei-Dong,Chin J Nat Med,2019,en,chd_tcm.csv
PMID39041141,39041141,[Coronary heart disease: innovative understanding from traditional Chinese medicine and treatment by classic formulas].,"Coronary heart disease is a common cardiovascular disease, attacking about 11.4 million patients in China. With increasing prevalence and mortality year by year, coronary heart disease has become a major factor threatening human health and public health. Although primary and secondary prevention, intervention, coronary artery bypass grafting and other interventions have reduced the death rate, there are drug(aspirin) resistance, secondary nitroglycerin failure, post-intervention fatigue, chest tightness, and an-xiety, and complication with a high risk of bleeding, which have become the key clinical and scientific issues needed to be resolved. Coronary heart disease belongs to the category of chest impediment and heart pain in traditional Chinese medicine(TCM). The TCM etiology of this disease includes external contraction of cold, emotional disorders, constitutional insufficiency, physical weakness, and labor injury, which are closely related to sympathetic nerve activity, state of cardiac and psychological diseases, family history, and cardiovascular metabolic disorders in modern medicine. The TCM causes of coronary heart disease include Qi depression, phlegm turbidity, blood stasis, fire-heat, cold congealing, and healthy Qi deficiency, which are associated with emotional factors such as anxiety and depression, abnormal lipid metabolism, abnormalities in blood circulation and coagulation, inflammatory responses, hyperactive immune responses, and heart failure, chronic wasting disease, or aging, respectively. Accordingly, the patients with Qi depression should be treated with Chaihu Longgu Muli Decoction, and those with phlegm turbidity should be treated with Wendan Decoction and Gualou Xiebai Banxia Decoction. Xuefu Zhuyu Decoction and Guizhi Fuling Pills are recommended for blood stasis, Xiaoxianxiong Decoction and Sanhuang Xiexin Decoction for fire-heat, Zhishi Xiebai Guizhi Decoction for cold congealing, and Renshen Decoction for healthy Qi deficiency. Due to the changes in the spectrum of diseases from ancient to modern times as well as the differences in physical constitution, the key cause of coronary heart disease has evolved from the chest Yang deficiency and cold congealing to Qi depression, phlegm turbidity, phlegm combined with stasis, and fire-heat, showing a shift from cold to heat and from deficiency to excess. The combination of classic formulas presents a pattern. That is, the core formula-syndrome correspondence of a disease often fixedly appears with other formula-syndrome correspondence, which may be related to the development of the pathophysiological mechanism of the disease. In the clinical application of modern pharmacological results, the research team has formulated the clinical principle of pathogenesis corresponding to pathological changes and medicinal nature corresponding pharmacological effects. The modern pharmacological research on classic formulas is conducive to targeted treatment. Moreover, classic formulas help to ameliorate aspirin resistance, clopidogrel resistance, post-intervention anxiety, and high risk of bleeding and address the lack of effective blockade of critical lesions in the coronary artery and the progression of post-infarction heart failure. The innovative understanding of the etiology and pathogenesis of co-ronary heart disease helps to improve the clinical efficacy of TCM and the clinical system for treating coronary heart disease with classic formulas.",Lan Yu; Luo Fu-Kun; Yu Yue; Wang Xiao-Ya; Wang Peng-Qian; Xiong Xing-Jiang,Zhongguo Zhong Yao Za Zhi,2024,zh,chd_tcm.csv
PMID39691499,39691499,Traditional Chinese medicine for cardiovascular disease: efficacy and safety.,"In China and other Asian nations, traditional medicine has long been utilized in the treatment of cardiovascular diseases (CVD). While Chinese authorities have incorporated traditional Chinese medicine (TCM) treatment experiences as a supplementary guide for CVD, its international recognition remains limited due to a scarcity of high-quality and reliable randomized controlled trials (RCTs) evidence. The purpose of this study was to examine the clinical outcomes with TCM for CVD after the recent publication of large trials adding >20,000 individuals to the published data. Here, we systematically reviewed 55 published RCTs (modified Jadad scores > 4) in the past 20 years, involving a total of 36,261 patients. In most studies, TCM has been associated with significant improvements in alternative endpoints such as hypertension, coronary heart disease, stroke and heart failure. A total of 19 trials reported on primary outcomes such as cardiovascular events and death events. During the follow-up period, some Chinese patent medicines can effectively reduce the ""hard"" endpoints of coronary heart disease, stroke, and heart failure, the overall trend of cardiovascular outcomes is lower. The risk of adverse effects was not significantly increased compared to the control group, suggesting its potential as an alternative approach for primary and secondary prevention of CVD based on the available evidence.",Lin Youwei; Han Yuanshan; Wang Yuhong,Front Cardiovasc Med,2024,en,chd_tcm.csv
PMID30212682,30212682,Treatment of atherosclerosis by traditional Chinese medicine: Questions and quandaries.,"Atherosclerosis and its complications, such as myocardial infarction and stroke, are the major causes of morbidity and mortality, and development of effective therapies for both prevention and treatment of this disease is critically important. Currently, there are many drugs available for atherosclerotic disease, but the lipid-lowering drugs statins are still the first-choice for treatment of hypercholesterolemia, a major risk factor for atherosclerosis. On the other hand, traditional Chinese medicines, mainly Chinese herbal medicines (CHM), have been widely used in China and in other Asian countries for the treatment of atherosclerotic diseases. Although many CHMs have been reported to be effective for treating atherosclerotic diseases for more than two thousand years, there are still many difficulties for their use, such as lack of scientific evidence assessed by rigorous clinical trials, complicated components and unclear pharmacological mechanisms, which often hamper the widespread use of CHMs in Western countries. Due to these concerns, CHMs are usually considered as complimentary or alternative treatment for atherosclerotic diseases. In this review, we provide an overview of the pathophysiology of atherosclerosis viewed by Western and traditional Chinese medicine, summarize pros and cons on the efficacy of CHMs for atherosclerosis and discuss what is necessary for CHM use to spread to Western societies.",Wang Chuan; Niimi Manabu; Watanabe Teruo; Wang Yanli; Liang Jingyan; Fan Jianglin,Atherosclerosis,2018,en,chd_tcm.csv
PMID38128892,38128892,Effectiveness and pharmacological mechanisms of Chinese herbal medicine for coronary heart disease complicated with heart failure.,"[ETHNOPHARMACOLOGICAL RELEVANCE] Chinese herbal medicine (CHM) is widely used for treating coronary heart disease complicated with heart failure (CHD-HF). However, the exact mechanisms involved are still not fully understood. [AIM OF THE STUDY] To assess the clinical effectiveness and potential pharmacological mechanisms of CHM for treating CHD-HF. [METHODS] Eight databases were retrieved for Randomized Controlled Trials of CHM for CHD-HF published from their inception to March 2023. Quality assessment of include studies was performed by the Cochrane risk-of-bias. Meta-analysis was used to assess the effectiveness of CHM for CHD-HF, and then core drugs and active ingredients were selected by data mining and network pharmacology. Finally, cluster and enrichment analysis were adopted to explore the potential targets and signaling pathways. [RESULTS] A total of 52 studies enrolling 5216 patients were included. Meta-analysis revealed that CHM treatment groups significantly improved left ventricular ejection fraction (LVEF), 6-min walk test (6-MWT), left ventricular end-diastolic dimension (LVEDD) and left ventricular end systolic diameter (LVESD) than control groups: [LVEF: SMD = 0.7, 95%CI (0.54, 0.87), p < 0.00001, I= 80%; 6-MWT: SMD = 0.72, 95%CI (0.58, 0.86), p < 0.0001, I= 67%; LVEDD: SMD = -0.79, 95%CI (-0.89, -0.69), p < 0.0001, I= 49%; LVESD: SMD = -0.6 (-0.74, -0.46), p < 0.0001, I= 0%]. The results of various biological information analysis showed the internal relationship between prescriptions, core drugs, active ingredients and therapeutic targets. Twelve core herbs with the most commonly use and high correlation were selected from 110 CHMs of 52 prescriptions for CHD-HF treatment, and further 65 effective components were screened out according to the most strength value, which were divided into 12 compounds such as terpenoids, flavonoids, steroids and alkaloids and etc. At the same time, 67 therapeutic targets of active ingredients in CHD-HF were filtrated. On these bases, cluster and enrichment analysis of the components and targets were used to explore relevant pharmacological mechanisms, mainly including anti-myocardial cell damage, anti-inflammation, anti-apoptosis, anti-fibrosis, regulation of oxidative stress, anticoagulation and angiogenesis, and improvement of glucose and fatty acid metabolism. [CONCLUSION] CHM are effective in treating CHD-HF compared with conventional treatment. Some of the included studies have high risks in the implementation of blinding, so more high-quality studies are needed. The active ingredients of CHM could protect the myocardium and improve pathological environment of CHD-HF in various ways. And CHM has the advantage of multi-component and multi-target treatment for complex diseases.",Teng Yu; Li Yang; Wang Lei; Wang Baofu; Su Sha; Chen Jiaxin; Lu Ziwen; Zhu Haiyan; Zhao Mingjing,J Ethnopharmacol,2024,en,chd_tcm.csv
PMID38495923,38495923,Research Status and Trends of Traditional Chinese Medicine Therapeutic Formulae for Coronary Heart Disease Scientometrics Research.,"[AIM OF THE STUDY] This study analyzes research on TCM formulae in CHD over the past 30 years, using VOSviewer and CiteSpace. It aims to highlight key trends and hotspots in the field. [MATERIALS AND METHODS] The core database of Web of Science was collected, and the search time range was from the establishment of the database to the present (August 2023) for the literature related to the study of TCM prescriptions in CHD, and the information on the number of literature, countries, journals, authors, institutions, keywords were summarized by applying the software VOSviewer and CiteSpace. [RESULTS] A total of 135 kinds of literature were included. The number of published journal papers on research on TCM therapeutic formulae for CHD showed an upward trend; China was the most prolific country in this field; the largest number of papers were published in Evid Based Complement Alternat Med, MEDICINE; the average number of citations for authors and institutional analysis revealed that Xu Hao of China Academy of Traditional Chinese Medicine, Mao Jingyuan of Tianjin University of Traditional Chinese Medicine, and Shang Hongcai of Beijing University of Traditional Chinese Medicine constituted the core team of researchers studying the study of TCM formulae for CHD; the keyword analysis suggests that there are mainly 42 specifically named TCM formulae for the treatment of CHD, which are classified into a total of 7 major categories, and the research direction is mainly in the clinical efficacy study of different TCM therapeutic formulae and other aspects. [CONCLUSION] This study shows that there are more types of TCM therapeutic formulae for CHD, and the related research has a good prospect. It is foreseeable that more relevant research results will rely on the study of network pharmacology, signalling pathways, and action targets of TCM therapeutic formulae.",Zhou Mi; Li Jieyun; Xiao Xinang; Lim Jiekee; Tian Zhikui; Wang Dongjun; Zhang Naijin; Xu Zhaoxia,Int J Gen Med,2024,en,chd_tcm.csv
PMID28497986,28497986,Traditional Chinese Medicine on the Treatment of Coronary Heart Disease in Recent 20 Years.,"[OBJECTIVE] To analyze the patterns and differences of Chinese herbs in the treatment of coronary heart disease (CHD) in different time periods and different regions in recent 20 years. [DESIGN] The literature of controlled clinical trials that focuses on Chinese herbs treating CHD published in China National Knowledge Internet and Wanfang database from January 1, 1996 to December 31, 2015 were screened to analyze the patterns of herb utilization using SPSS 21.0. [RESULTS] A total of 1250 articles were enrolled in total covering 29 regions. There were 242 kinds of single herbs, 18 categories, mentioned a total of 11,594 times. In Northeast China, North China, South China, Central China, and Southwest China the most frequently used herb was Radix Salviae Miltiorrhizae, but in East China and Northwest China, the most frequently used herb was Rhizoma Chuanxiong. The most frequently used herb category in North China, Central China, Southwest China, and Northwest China was herbs to invigorate blood, but in Northeast China, East China, and South China the most frequently used herb category was herbs to tonify. [CONCLUSION] Single herbs and herb categories to treat CHD in Traditional Chinese Medicine differed from time to time and from region to region.",Gong Ping; Li Yue; Yao Chengzeng; Guo Hui; Hwang Hui; Liu Xiaobing; Xu Yan; Wang Xiaolong,J Altern Complement Med,2017,en,chd_tcm.csv
PMID40741003,40741003,Therapeutic potential of Chinese herbal medicine for coronary heart disease patients with cerebral ischemic stroke: a systematic review and meta-analysis.,"[OBJECTIVE] This research sought to demonstrate potential therapeutic strategies for coronary heart disease (CHD) patients with cerebral ischemic stroke (CIS) by rigorously evaluating the efficacy and safety of Chinese Herbal Medicine (CHM) through meta-analysis. [METHODS] A broad search approach was applied to obtain pertinent articles from both domestic and international databases, covering publications up to 31 December 2024. Using RevMan software (Version 5.4), a systematic review and meta-analysis were conducted to assess the efficacy and safety of CHM in treating CHD patients with CIS. [RESULTS] In the meta-analysis, 18 trails were analyzed, encompassing 2,202 patients in total. The aggregated findings indicated that the utilization of CHM improved the overall effective rate, ECG performance and TCM scores significantly. Furthermore, the CHM therapy demonstrated significant improvements in LVEF, MMSE, and NIHSS. Additionally, the CHMs therapy positively influenced lipid profiles, specifically TC, TG, LDL-C, and HDL-C. Notably, the application of CHM during the intervention was particularly effective in reducing blood viscosity, fibrinogen and platelet aggregation. Importantly, the CHM therapy was found to provide comparable safety profile to that of conventional western medicine treatment (WM) alone. [CONCLUSION] The CHM demonstrated superior efficacy in the management of CHD patients with CIS. Concurrently, the CHM showed potential for improving neurological damage, lipid profiles, and positively affecting hemorheological parameters, all while minimizing the risk of adverse effects. Even so, because of the limitations in study quality and the potential for reporting bias, it is crucial that these findings require to be further validated through rigorous, large-scale, and high-quality RCT in future research.",Du Rui; Ao Yuhan; Wang Yang; Chen Zhihui; Liu Guanghui; Zhang Mingxue,Front Pharmacol,2025,en,chd_tcm.csv
