article_id,pmid,title,abstract,authors,journal,pub_year,language,source_file
PMID37360014,37360014,Potential herb‒drug interactions between anti-COVID-19 drugs and traditional Chinese medicine.,"Coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has spread worldwide. Effective treatments against COVID-19 remain urgently in need although vaccination significantly reduces the incidence, hospitalization, and mortality. At present, antiviral drugs including Nirmatrelvir/Ritonavir (Paxlovid), Remdesivir, and Molnupiravir have been authorized to treat COVID-19 and become more globally available. On the other hand, traditional Chinese medicine (TCM) has been used for the treatment of epidemic diseases for a long history. Currently, various TCM formulae against COVID-19 such as Qingfei Paidu decoction, Xuanfei Baidu granule, Huashi Baidu granule, Jinhua Qinggan granule, Lianhua Qingwen capsule, and Xuebijing injection have been widely used in clinical practice in China, which may cause potential herb-drug interactions (HDIs) in patients under treatment with antiviral drugs and affect the efficacy and safety of medicines. However, information on potential HDIs between the above anti-COVID-19 drugs and TCM formulae is lacking, and thus this work seeks to summarize and highlight potential HDIs between antiviral drugs and TCM formulae against COVID-19, and especially pharmacokinetic HDIs mediated by metabolizing enzymes and/or transporters. These well-characterized HDIs could provide useful information on clinical concomitant medicine use to maximize clinical outcomes and minimize adverse and toxic effects.",Ye Ling; Fan Shicheng; Zhao Pengfei; Wu Chenghua; Liu Menghua; Hu Shuang; Wang Peng; Wang Hongyu; Bi Huichang,Acta Pharm Sin B,2023,en,covid_tcm.csv
PMID37094153,37094153,Bioactive compounds from Huashi Baidu decoction possess both antiviral and anti-inflammatory effects against COVID-19.,"The coronavirus disease 2019 (COVID-19) pandemic is an ongoing global health concern, and effective antiviral reagents are urgently needed. Traditional Chinese medicine theory-driven natural drug research and development (TCMT-NDRD) is a feasible method to address this issue as the traditional Chinese medicine formulae have been shown effective in the treatment of COVID-19. Huashi Baidu decoction (Q-14) is a clinically approved formula for COVID-19 therapy with antiviral and anti-inflammatory effects. Here, an integrative pharmacological strategy was applied to identify the antiviral and anti-inflammatory bioactive compounds from Q-14. Overall, a total of 343 chemical compounds were initially characterized, and 60 prototype compounds in Q-14 were subsequently traced in plasma using ultrahigh-performance liquid chromatography with quadrupole time-of-flight mass spectrometry. Among the 60 compounds, six compounds (magnolol, glycyrrhisoflavone, licoisoflavone A, emodin, echinatin, and quercetin) were identified showing a dose-dependent inhibition effect on the SARS-CoV-2 infection, including two inhibitors (echinatin and quercetin) of the main protease (M), as well as two inhibitors (glycyrrhisoflavone and licoisoflavone A) of the RNA-dependent RNA polymerase (RdRp). Meanwhile, three anti-inflammatory components, including licochalcone B, echinatin, and glycyrrhisoflavone, were identified in a SARS-CoV-2-infected inflammatory cell model. In addition, glycyrrhisoflavone and licoisoflavone A also displayed strong inhibitory activities against cAMP-specific 3',5'-cyclic phosphodiesterase 4 (PDE4). Crystal structures of PDE4 in complex with glycyrrhisoflavone or licoisoflavone A were determined at resolutions of 1.54 Å and 1.65 Å, respectively, and both compounds bind in the active site of PDE4 with similar interactions. These findings will greatly stimulate the study of TCMT-NDRD against COVID-19.",Xu Haiyu; Li Shufen; Liu Jiayuan; Cheng Jinlong; Kang Liping; Li Weijie; Zhong Yute; Wei Chaofa; Fu Lifeng; Qi Jianxun; Zhang Yulan; You Miaomiao; Zhou Zhenxing; Zhang Chongtao; Su Haixia; Yao Sheng; Zhou Zhaoyin; Shi Yulong; Deng Ran; Lv Qi; Li Fengdi; Qi Feifei; Chen Jie; Zhang Siqin; Ma Xiaojing; Xu Zhijian; Li Shao; Xu Yechun; Peng Ke; Shi Yi; Jiang Hualiang; Gao George F; Huang Luqi,Proc Natl Acad Sci U S A,2023,en,covid_tcm.csv
PMID34567957,34567957,Traditional Chinese medicine in COVID-19.,"COVID-19 pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has spread across the globe, posing an enormous threat to public health and safety. Traditional Chinese medicine (TCM), in combination with Western medicine (WM), has made important and lasting contributions in the battle against COVID-19. In this review, updated clinical effects and potential mechanisms of TCM, presented in newly recognized three distinct phases of the disease, are summarized and discussed. By integrating the available clinical and preclinical evidence, the efficacies and underlying mechanisms of TCM on COVID-19, including the highly recommended three Chinese patent medicines and three Chinese medicine formulas, are described in a panorama. We hope that this comprehensive review not only provides a reference for health care professionals and the public to recognize the significant contributions of TCM for COVID-19, but also serves as an evidence-based in-depth summary and analysis to facilitate understanding the true scientific value of TCM.",Lyu Ming; Fan Guanwei; Xiao Guangxu; Wang Taiyi; Xu Dong; Gao Jie; Ge Shaoqin; Li Qingling; Ma Yuling; Zhang Han; Wang Jigang; Cui Yuanlu; Zhang Junhua; Zhu Yan; Zhang Boli,Acta Pharm Sin B,2021,en,covid_tcm.csv
PMID33511330,33511330,Biomarkers of COVID-19 and technologies to combat SARS-CoV-2.,"Due to the unprecedented public health crisis caused by COVID-19, our first contribution to the newly launching journal,, has abruptly diverted to focus on the current pandemic. As the number of new COVID-19 cases and deaths continue to rise steadily around the world, the common goal of healthcare providers, scientists, and government officials worldwide has been to identify the best way to detect the novel coronavirus, named SARS-CoV-2, and to treat the viral infection - COVID-19. Accurate detection, timely diagnosis, effective treatment, and future prevention are the vital keys to management of COVID-19, and can help curb the viral spread. Traditionally, biomarkers play a pivotal role in the early detection of disease etiology, diagnosis, treatment and prognosis. To assist myriad ongoing investigations and innovations, we developed this current article to overview known and emerging biomarkers for SARS-CoV-2 detection, COVID-19 diagnostics, treatment and prognosis, and ongoing work to identify and develop more biomarkers for new drugs and vaccines. Moreover, biomarkers of socio-psychological stress, the high-technology quest for new virtual drug screening, and digital applications are described.",Zhang Luoping; Guo Helen,Adv Biomark Sci Technol,2020,en,covid_tcm.csv
PMID32997322,32997322,"COVID-19: Antiviral Agents, Antibody Development and Traditional Chinese Medicine.","The World Health Organization (WHO) has declared coronavirus disease 2019 (COVID-19) is the first pandemic caused by coronavirus named severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Currently, there is no effective anti-SARS-CoV-2 drug approved worldwide for treatment of patients with COVID-19. Therapeutic options in response to the COVID-19 outbreak are urgently needed. To facilitate the better and faster development of therapeutic COVID-19 drugs, we present an overview of the global promising therapeutic drugs, including repurposing existing antiviral agents, network-based pharmacology research, antibody development and traditional Chinese medicine. Among all these drugs, we focus on the most promising drugs (such as favipiravir, tocilizumab, SARS-CoV-2 convalescent plasma, hydroxychloroquine, Lianhua Qingwen, interferon beta-1a, remdesivir, etc.) that have or will enter the final stage of human testing-phase III-IV clinical trials.",Guan Wenyi; Lan Wendong; Zhang Jing; Zhao Shan; Ou Junxian; Wu Xiaowei; Yan Yuqian; Wu Jianguo; Zhang Qiwei,Virol Sin,2020,en,covid_tcm.csv
PMID33485973,33485973,Chinese herbal medicine: Fighting SARS-CoV-2 infection on all fronts.,"[ETHNOPHARMACOLOGICAL RELEVANCE] Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection causes coronavirus disease 2019 (COVID-19), a highly pathogenic virus that has spread rapidly across the entire world. There is a critical need to develop safe and effective drugs, especially broad-spectrum antiviral and organ protection agents in order to treat and prevent this dangerous disease. It is possible that Chinese herbal medicine may play an essential role in the treatment of patients with SARS-CoV-2 infection. [AIM OF THE REVIEW] We aim to review the use of Chinese herbal medicine in the treatment of COVID-19 both in vitro and in clinical practice. Our goal was to provide a better understanding of the potential therapeutic effects of Chinese herbal medicine and to establish a ""Chinese protocol"" for the treatment of COVID-19. [MATERIALS AND METHODS] We systematically reviewed published research relating to traditional Chinese herbal medicines and the treatment of SARS-CoV-2 from inception to the 6January 2021 by screening a range of digital databases (Web of Science, bioRxiv, medRxiv, China National Knowledge Infrastructure, X-MOL, Wanfang Data, Google Scholar, PubMed, Elsevier, and other resources) and public platforms relating to the management of clinical trials. We included the active ingredients of Chinese herbal medicines, monomer preparations, crude extracts, and formulas for the treatment of COVID-19. [RESULTS] In mainland China, a range of Chinese herbal medicines have been recognized as very promising anti-SARS-CoV-2 agents, including active ingredients (quercetagetin, osajin, tetrandrine, proscillaridin A, and dihydromyricetin), monomer preparations (xiyanping injection, matrine-sodium chloride injection, diammonium glycyrrhizinate enteric-coated capsules, and sodium aescinate injection), crude extracts (Scutellariae Radix extract and garlic essential oil), and formulas (Qingfei Paidu decoction, Lianhuaqingwen capsules, and Pudilan Xiaoyan oral liquid). All these agents have potential activity against SARS-CoV-2 and have attracted significant attention due to their activities both in vitro and in clinical practice. [CONCLUSIONS] As a key component of the COVID-19 treatment regimen, Chinese herbal medicines have played an irreplaceable role in the treatment of SARS-CoV-2 infection. The ""Chinese protocol"" has already demonstrated clear clinical importance. The use of Chinese herbal medicines that are capable of inhibiting SARS-Cov-2 infection may help to address this immediate unmet clinical need and may be attractive to other countries that are also seeking new options for effective COVID-19 treatment. Our analyses suggest that countries outside of China should also consider protocols involving Chinese herbal medicines combat this fast-spreading viral infection.",Wang Zhonglei; Yang Liyan,J Ethnopharmacol,2021,en,covid_tcm.csv
PMID35786183,35786183,Pharmacokinetics and Metabolism of Traditional Chinese Medicine in the Treatment of COVID-19.,"[BACKGROUND] The outbreak of coronavirus disease 19 (COVID-19) has caused great concern to public health. Convincing clinical experiences showed that traditional Chinese medicine (TCM) has exhibited remarkable efficacy in the prevention, treatment and rehabilitation of COVID-19. The research on the treatment of COVID-19 disease with TCM mainly focused on the pharmacological effects and mechanistic analysis. However, the TCM's pharmacokinetics and potential herb-drug interaction in the treatment of COVID-19 are currently unclear. [METHODS] This review summarizes the pharmacokinetics and characteristics of cytochrome P450 enzyme (CYP450) metabolism of TCM recommended in the Guidelines for diagnosis and treatment of coronavirus disease 2019 (trial version eighth), and meanwhile analyzes the potential interactions between TCM and western medicine. [RESULTS] The pharmacokinetics of TCM mainly focused on preclinical pharmacokinetics, and fewer clinical pharmacokinetics research was reported. When TCM and western are both metabolized by CYP450 and coadministered, a potential herb-drug interaction might occur. [CONCLUSION] Knowledge of the pharmacokinetics and metabolism of TCM is key to understanding rational TCM use of COVID-19 and developing antiviral TCM.",Xu Xiaofang; Shen Qian; Wang Hui; Zeng Zian; Liu Meng; Wu Guang; Zhou Yusheng; Li Rong,Curr Drug Metab,2022,en,covid_tcm.csv
PMID35729086,35729086,Traditional Chinese Medicine for COVID-19: A Network Meta-Analysis and Systematic Review.,"To compare the efficacy of different traditional Chinese medicine (TCM) therapies for the treatment of coronavirus disease 2019 (COVID-19) and provide a higher level of evidence in the form of network meta-analysis (NMA) and systematic review. We searched the studies from the following databases: CNKI, VIP, WanFang, SinoMed, PubMed, Embase, and Web of Science from the establishment of the respective database until December 2021. Relevant studies were screened according to the pre-established inclusion criteria. The quality of the included randomized controlled trials (RCTs) and controlled clinical trials (CCTs) were assessed using the risk of bias (ROB) tool and the Methodological Index for Non-Randomized Studies (MINORS), respectively. R software 4.1.1 and Stata 13.1 were used for data analysis and mapping. A total of 34 studies were included in this network meta-analysis that tested 24 TCM interventions and included 3443 patients. Using cluster analysis of time to negative SARS-CoV-2 reverse transcription-polymerase chain reaction (RT-PCR), the length of hospital stay and composite events, we found that Jinyinhua oral liquid (JYH, 120 mL) + conventional Western medicine (CWM) has the highest SUCRA value at 88.64%, 85.61% and 84.24%. The traditional meta-analysis results revealed that Qingfei Paidu decoction + CWM were significantly different compared with CWM alone for the score of clinical symptoms (MD =-0.75, 95% CI [-1.04, -0.47]). Nine studies reported 57 adverse reactions (ADRs) and 3 adverse events (ADEs) in TCM + CWM groups, and eight studies reported 33 ADRs and 8 ADEs in CWM groups. In conclusion, the combination of TCM and CWM approaches may enhance the efficacy of CWM in COVID-19 patients. Based on the NMA result, JYH (120 mL) + CWM may be a more effective treatment and deserves further investigation. However, the differences in many comparisons between TCM interventions did not reach statistical significance; therefore, further high-quality studies are required to validate these findings.",Ji Zhaochen; Hu Haiyin; Qiang Xiaoyu; Lin Shanshan; Pang Bo; Cao Lujia; Zhang Li; Liu Shigang; Chen Zhe; Zheng Wenke; Liu Chunxiang; Wang Hui; Zhang Junhua,Am J Chin Med,2022,en,covid_tcm.csv
PMID36999715,36999715,Traditional Chinese Medicine as the Preventive and Therapeutic Remedy for COVID-19.,"The coronavirus disease 2019 (COVID-19) pandemic still has tremendous impacts on the global socio-economy and quality of living. The traditional Chinese Medicines (TCM) approach showed encouraging results during previous outbreaks of Severe Acute Respiratory Syndrome-related Coronavirus (SARS-CoV) and the Middle East Respiratory Syndrome Coronavirus (MERS-CoV). With limited treatment availability, TCM herbs and formulations could be useful to reduce COVID-19 symptoms and potential sources for discovering novel therapeutic targets. We reviewed 12 TCM herbs and formulations recommended for COVID-19 management by the National Health Commission and as National Administration of Traditional Chinese Medicine of the People's Republic of China. This article explored the Chinese national authorities' guidelines from 2003 to 2020, the scientific data in public databases for the recommended TCM remedies, and their potential mechanistic actions in COVID-19 management. Several TCM herbs and formulations could potentially benefit COVID-19 management. The recommended TCM oral preparations list includes, and; the recommended injection preparations comprise Xiyanping, and. TCM remedies are viable options for symptom alleviation and management of COVID-19. The current SARS-CoV-2 pandemic presents an opportunity to find novel therapeutic targets from TCM-active ingredients. Despite the recommendations in Chinese National guidelines, these remedies warrant further assessments in well-designed clinical trials to ascertain their efficacy in the treatment of COVID-19.",Gasmi Amin; Tippairote Torsak; Mujawdiya Pavan Kumar; Menzel Alain; Lysiuk Roman; Shanaida Mariia; Lenchyk Larysa; Peana Massimiliano; Bjørklund Geir,Curr Med Chem,2024,en,covid_tcm.csv
PMID35227280,35227280,Efficacy and mechanisms of traditional Chinese medicine for COVID-19: a systematic review.,"Since the outbreak of coronavirus disease 2019 (COVID-19), traditional Chinese medicine (TCM) has made an important contribution to the prevention and control of the epidemic. This review aimed to evaluate the efficacy and explore the mechanisms of TCM for COVID-19. We systematically searched 7 databases from their inception up to July 21, 2021, to distinguish randomized controlled trials (RCTs), cohort studies (CSs), and case-control studies (CCSs) of TCM for COVID-19. Two reviewers independently completed the screening of literature, extraction of data, and quality assessment of included studies. Meta-analysis was performed using Review Manager 5.4 software. Eventually, 29 RCTs involving 3060 patients and 28 retrospective studies (RSs) involving 12,460 patients were included. The meta-analysis demonstrated that TCM could decrease the proportion of patients progressing to severe cases by 55% and the mortality rate of severe or critical patients by 49%. Moreover, TCM could relieve clinical symptoms, curtail the length of hospital stay, improve laboratory indicators, and so on. In addition, we consulted the literature and obtained 149 components of Chinese medicinal herbs that could stably bind to antiviral targets or anti-inflammatory or immune-regulating targets by the prediction of molecular docking. It suggested that the mechanisms involved anti-virus, anti-inflammation, and regulation of immunity. Our study made a systematic review on the efficacy of TCM for COVID-19 and discussed the possible mechanisms, which provided clinical reference and theoretical basis for further research on the mechanism of TCM for COVID-19.",Kang Xiaomin; Jin De; Jiang Linlin; Zhang Yuqing; Zhang Yuehong; An Xuedong; Duan Liyun; Yang Cunqing; Zhou Rongrong; Duan Yingying; Sun Yuting; Lian Fengmei,Chin Med,2022,en,covid_tcm.csv
