article_id,pmid,title,abstract,authors,journal,pub_year,language,source_file
PMID35193039,35193039,Progress in the treatment of diabetic peripheral neuropathy.,"Diabetic peripheral neuropathy (DPN) is one of the most common chronic complications of diabetes. Symptoms of DPN mainly include spontaneous intractable pain that is diffuse and continuous and can last from several weeks to several months. DPN is associated with a high mortality rate and poor prognosis. Its pathogenesis is not fully understood, and clinical treatment is focused on relieving its clinical symptoms, as well as improving blood sugar control and cardiovascular risk factors. DPN and its clinically effective treatments need to be studied. This study discusses the treatment methods and pathogenesis of DPN, summarizes the related research progress, and attempts to provide a reference for DPN research.",Yang Ke; Wang Yue; Li Yi-Wei; Chen Yi-Gong; Xing Na; Lin Han-Bin; Zhou Ping; Yu Xiao-Ping,Biomed Pharmacother,2022,en,diabetes_tcm.csv
PMID38757785,38757785,Traditional Chinese medicine improved diabetic kidney disease through targeting gut microbiota.,"[CONTEXT] Diabetic kidney disease (DKD) affects nearly 40% of diabetic patients, often leading to end-stage renal disease that requires renal replacement therapies, such as dialysis and transplantation. The gut microbiota, an integral aspect of human evolution, plays a crucial role in this condition. Traditional Chinese medicine (TCM) has shown promising outcomes in ameliorating DKD by addressing the gut microbiota. [OBJECTIVE] This review elucidates the modifications in gut microbiota observed in DKD and explores the impact of TCM interventions on correcting microbial dysregulation. [METHODS] We searched relevant articles from databases including Web of Science, PubMed, ScienceDirect, Wiley, and Springer Nature. The following keywords were used: diabetic kidney disease, diabetic nephropathy, gut microbiota, natural product, TCM, Chinese herbal medicine, and Chinese medicinal herbs. Rigorous criteria were applied to identify high-quality studies on TCM interventions against DKD. [RESULTS] Dysregulation of the gut microbiota, including,, and, has been observed in individuals with DKD. Key indicators of microbial dysregulation include increased uremic solutes and decreased short-chain fatty acids. Various TCM therapies, such as formulas, tablets, granules, capsules, and decoctions, exhibit unique advantages in regulating the disordered microbiota to treat DKD. [CONCLUSION] This review highlights the importance of targeting the gut-kidney axis to regulate microbial disorders, their metabolites, and associated signaling pathways in DKD. The Qing-Re-Xiao-Zheng formula, the Shenyan Kangfu tablet, the Huangkui capsule, and the Bekhogainsam decoction are potential candidates to address the gut-kidney axis. TCM interventions offer a significant therapeutic approach by targeting microbial dysregulation in patients with DKD.",Wu Xia-Qing; Zhao Lei; Zhao Yan-Long; He Xin-Yao; Zou Liang; Zhao Ying-Yong; Li Xia,Pharm Biol,2024,en,diabetes_tcm.csv
PMID36222120,36222120,A Review of Traditional Chinese Medicine on Treatment of Diabetic Nephropathy and the Involved Mechanisms.,"Diabetic nephropathy (DN) is a common microvascular complication of diabetes mellitus (DM), which can lead to renal failure in diabetic patients. At present, the first-line drugs for DN are mainly the renin-angiotensin system (RAS) inhibitors or angiotensin receptor blockers, and the latest approved aldosterone receptor antagonist finerenone, which delay the progression of DN to end-stage renal disease (ESRD), but the therapeutic effect is still not ideal. With a history of thousands of years, traditional Chinese medicine (TCM) has rich experience in the treatment of DN. Based on the theory of TCM, the clinical treatment of DN mainly focuses on generating fluid and nourishing blood, nourishingand, detoxifying and detumescent. In recently years, the therapeutic effects and mechanisms of TCM prescription, Chinese herbal medicine, and its active components on DN have received extensive attention in new drug development. This paper reviews the research progress of the mechanism of TCM on DN.",Liu Xiao-Juan; Hu Xiang-Ka; Yang He; Gui Liu-Ming; Cai Zeng-Xiaorui; Qi Mu-Shuang; Dai Chun-Mei,Am J Chin Med,2022,en,diabetes_tcm.csv
PMID34907435,34907435,Effect of acupuncture and metformin on insulin sensitivity in women with polycystic ovary syndrome and insulin resistance: a three-armed randomized controlled trial.,"[STUDY QUESTION] Does acupuncture improve insulin sensitivity more effectively than metformin or sham acupuncture in women with polycystic ovary syndrome (PCOS) and insulin resistance (IR)? [SUMMARY ANSWER] Among women with PCOS and IR, acupuncture was not more effective than metformin or sham acupuncture in improving insulin sensitivity. [WHAT IS KNOWN ALREADY] Uncontrolled trials have shown that acupuncture improved insulin sensitivity with fewer side effects compared with metformin in women with PCOS and IR. However, data from randomized trials between acupuncture and metformin or sham acupuncture are lacking. [STUDY DESIGN, SIZE, DURATION] This was a three-armed randomized controlled trial enrolling a total of 342 women with PCOS and IR from three hospitals between November 2015 and February 2018, with a 3-month follow-up until October 2018. [PARTICIPANTS/MATERIALS, SETTING, METHODS] Women aged from 18 to 40 years with PCOS and homeostasis model assessment of insulin resistance (HOMA-IR) ≥2.14 were randomly assigned (n = 114 per group) to receive true acupuncture plus placebo (true acupuncture), metformin plus sham acupuncture (metformin, 0.5 g three times daily) or sham acupuncture plus placebo (sham acupuncture) for 4 months, with an additional 3-month follow-up. True or sham acupuncture was given three times per week, and 0.5 g metformin or placebo was given three times daily. The primary outcome was change in HOMA-IR from baseline to 4 months after baseline visit. Secondary outcomes included changes in the glucose AUC during an oral glucose tolerance test, BMI and side effects at 4 months after baseline visit. [MAIN RESULTS AND THE ROLE OF CHANCE] After 4 months of treatment, the changes of HOMA-IR were -0.5 (decreased 14.7%) in the true acupuncture group, -1.0 (decreased 25.0%) in the metformin group and -0.3 (decreased 8.6%) in the sham acupuncture group, when compared with baseline. True acupuncture is not as effective as metformin in improving HOMA-IR at 4 months after baseline visit (difference, 0.6; 95% CI, 0.1-1.1). No significant difference was found in change in HOMA-IR between true and sham acupuncture groups at 4 months after baseline visit (difference, -0.2; 95% CI, -0.7 to 0.3). During the 4 months of treatment, gastrointestinal side effects were more frequent in the metformin group, including diarrhea, nausea, loss of appetite, fatigue, vomiting and stomach discomfort (31.6%, 13.2%, 11.4%, 8.8%, 14.0% and 8.8%, respectively). Bruising was more common in the true acupuncture group (14.9%). [LIMITATIONS, REASONS FOR CAUTION] This study might have underestimated the sample size in the true acupuncture group with 4 months of treatment to enable detection of statistically significant changes in HOMA-IR with fixed acupuncture (i.e. a non-personalized protocol). Participants who withdrew because of pregnancy did not have further blood tests and this can introduce bias. [WIDER IMPLICATIONS OF THE FINDINGS] True acupuncture did not improve insulin sensitivity as effectively as metformin in women with PCOS and IR, but it is better than metformin in improving glucose metabolism (which might reduce the risk of type 2 diabetes) and has less side effects. Metformin had a higher incidence of gastrointestinal adverse effects than acupuncture groups, and thus acupuncture might be a non-pharmacological treatment with low risk for women with PCOS. Further studies are needed to evaluate the effect of acupuncture combined with metformin on insulin sensitivity in these women. [STUDY FUNDING/COMPETING INTEREST(S)] This work was supported by grants 2017A020213004 and 2014A020221060 from the Science and Technology Planning Project of Guangdong Province. The authors have no conflicts of interest. [TRIAL REGISTRATION NUMBER] Clinicaltrials.gov number: NCT02491333. [TRIAL REGISTRATION DATE] 8 July 2015. [DATE OF FIRST PATIENT’S ENROLLMENT] 11 November 2015.",Wen Qidan; Hu Min; Lai Maohua; Li Juan; Hu Zhenxing; Quan Kewei; Liu Jia; Liu Hua; Meng Yanbing; Wang Suling; Wen Xiaohui; Yu Chuyi; Li Shuna; Huang Shiya; Zheng Yanhua; Lin Han; Liang Xingyan; Lu Lingjing; Mai Zhefen; Zhang Chunren; Wu Taixiang; Ng Ernest H Y; Stener-Victorin Elisabet; Ma Hongxia,Hum Reprod,2022,en,diabetes_tcm.csv
PMID39028269,39028269,Evidence of traditional Chinese medicine for treating type 2 diabetes mellitus: from molecular mechanisms to clinical efficacy.,"[CONTEXT] The global prevalence of type 2 diabetes mellitus (T2DM) has increased significantly in recent decades. Despite numerous studies and systematic reviews, there is a gap in comprehensive and up-to-date evaluations in this rapidly evolving field. [OBJECTIVE] This review provides a comprehensive and current overview of the efficacy of Traditional Chinese Medicine (TCM) in treating T2DM. [METHODS] A systematic review was conducted using PubMed, Web of Science, Wanfang Data, CNKI, and Medline databases, with a search timeframe extending up to November 2023. The search strategy involved a combination of subject terms and free words in English, including 'Diabetes,' 'Traditional Chinese Medicine,' 'TCM,' 'Hypoglycemic Effect,' 'Clinical Trial,' and 'Randomized Controlled Trial.' The studies were rigorously screened by two investigators, with a third investigator reviewing and approving the final selection based on inclusion and exclusion criteria. [RESULTS] A total of 108 relevant papers were systematically reviewed. The findings suggest that TCMs not only demonstrate clinical efficacy comparable to existing Western medications in managing hypoglycemia but also offer fewer adverse effects and a multitarget therapeutic approach. Five main biological mechanisms through which TCM treats diabetes were identified: improving glucose transport and utilization, improving glycogen metabolism, promoting GLP-1 release, protecting pancreatic islets from damage, and improving intestinal flora. [CONCLUSIONS] TCM has demonstrated significant protective effects against diabetes and presents a viable option for the prevention and treatment of T2DM. These findings support the further exploration and integration of TCM into broader diabetes management strategies.",Ni Yadong; Wu Xianglong; Yao Wenhui; Zhang Yuna; Chen Jie; Ding Xuansheng,Pharm Biol,2024,en,diabetes_tcm.csv
PMID35002950,35002950,Syndrome Differentiation and Treatment Regularity in Traditional Chinese Medicine for Type 2 Diabetes: A Text Mining Analysis.,"[OBJECTIVE] The goal of this study was to systematically summarize and categorize the syndrome differentiation, medication rules, and acupoint therapy in the domestic traditional Chinese medicine (TCM) literature on type 2 diabetes mellitus (T2DM), such that guidelines and new insights can be provided for future practitioners and researchers. [METHODS] Taking randomized controlled trials (RCTs) on the treatment of T2DM in TCM as the research theme, we searched for full-text literature in three major clinical databases, including CNKI, Wan Fang, and VIP, published between 1990 and 2020. We then conducted frequency statistics, cluster analysis, association rules extraction, and topic modeling based on a corpus of medical academic words extracted from 3,654 research articles. [RESULTS] The TCM syndrome types, subjective symptoms, objective indicators, Chinese herbal medicine, acupuncture points, and TCM prescriptions for T2DM were compiled based on invigorating the kidney and, nourishing, and strengthening the spleen. Most TCM syndrome differentiation for T2DM was identified as """" (the lesion in the spleen and stomach) and """" (the lesion in the kidney) deficiency syndromes, and most medications and acupoint therapies were focused on the ""Spleen Channel"" and ""Kidney Channel."" However, stagnation of liverwas mentioned less when compared with other syndromes, which did not have symptomatic medicines. [CONCLUSION] This study provides an in-depth perspective for the TCM syndrome differentiation, medication rules, and acupoint therapy for T2DM and provides practitioners and researchers with valuable information about the current status and frontier trends of TCM research on T2DM in terms of both diagnosis and treatment.",Dou Zhili; Xia Ye; Zhang Jiawei; Li Yizhen; Zhang Yunan; Zhao Lei; Huang Zhe; Sun Haonan; Wu Lin; Han Dongran; Liu Yixing,Front Endocrinol (Lausanne),2021,en,diabetes_tcm.csv
PMID39308629,39308629,Radix Astragali and Its Representative Extracts for Diabetic Nephropathy: Efficacy and Molecular Mechanism.,"Diabetic nephropathy (DN) is a common microvascular complication of diabetes mellitus (DM). Radix Astragali (RA), a frequently used Chinese herbal medicine in the Leguminosae family,genus, with its extracts, has been proven to be effective in DN treatment both in clinical practice and experimental studies. RA and its extracts can reduce proteinuria and improve renal function. They can improve histopathology changes including thickening of the glomerular basement membrane, mesangial cell proliferation, and injury of endothelial cells, podocytes, and renal tubule cells. The mechanisms mainly benefited from antioxidative stress which involves Nrf2/ARE signaling and the PPAR-Klotho-FoxO1 axis; antiendoplasmic reticulum stress which involves PERK-ATF4-CHOP, PERK/eIF2, and IRE1/XBP1 pathways; regulating autophagy which involves SIRT1/NF-B signaling and AMPK signaling; anti-inflammation which involves IL33/ST2 and NF-B signaling; and antifibrosis which involves TGF-1/Smads, MAPK (ERK), p38/MAPK, JNK/MAPK, Wnt/-catenin, and PI3K/AKT/mTOR signaling pathways. This review focuses on the clinical efficacy and the pharmacological mechanism of RA and its representative extracts on DN, and we further document the traditional uses of RA and probe into the TCM theoretical basis for its application in DN.",Xue Hui-Zhong; Chen Yu; Wang Shi-Dong; Yang Yi-Meng; Cai Lu-Qi; Zhao Jin-Xi; Huang Wei-Jun; Xiao Yong-Hua,J Diabetes Res,2024,en,diabetes_tcm.csv
PMID37600709,37600709,Exploring the underlying mechanisms of obesity and diabetes and the potential of Traditional Chinese Medicine: an overview of the literature.,"Obesity and diabetes are closely related metabolic disorders that have become major public health concerns worldwide. Over the past few decades, numerous studies have explored the underlying mechanisms of these disorders and identified various risk factors, including genetics, lifestyle, and dietary habits. Traditional Chinese Medicine (TCM) has been increasingly recognized for its potential to manage obesity and diabetes. Weight loss is difficult to sustain, and several diabetic therapies, such as sulfonylureas, thiazolidinediones, and insulin, might make it harder to lose weight. While lifestyle changes should be the primary approach for people interested in lowering weight, drugs are also worth investigating. Since some of the newer glucose-lowering medications that cause weight loss, such as glucagon-like peptide-1 receptor agonists (GLP-1 RAs) and sodium-glucose cotransporter 2 inhibitors (SGLT2i), are additionally utilized or are under consideration for use as anti-obesity drugs, the frontier between glucose-lowering medication and weight loss drugs appears to be shifting. This review provides an overview of the literature on the underlying mechanisms of obesity and diabetes and the prospect of TCM in their management. We discuss the various TCM interventions, including acupuncture, herbal medicine, and dietary therapy, and their effects on metabolic health. We also highlight the potential of TCM in regulating gut microbiota, reducing inflammation, and improving insulin sensitivity. The findings suggest that TCM may provide a promising approach to preventing and managing obesity and diabetes. However, further well-designed studies are needed to confirm the efficacy and safety of TCM interventions and to elucidate their underlying mechanisms of action.",Chen Yan-Kun; Liu Ting-Ting; Teia Farah Khameis Farag; Xie Meng-Zhou,Front Endocrinol (Lausanne),2023,en,diabetes_tcm.csv
PMID35260056,35260056,Diabetes Mellitus and Bell's Palsy.,"The aim of the present brief review was to discuss Bell's palsy (BP) in diabetes mellitus (DM). The risk of BP is increased in DM. DM subjects with BP are more prone to severe facial nerve degeneration. Further characteristics of BP in DM include a) infrequent taste impairment; b) more frequent and more marked facial nerve subclinical electrophysiological impairment; c) more frequent Blink reflex impairment; d) potentially concurrent distal symmetrical sensorimotor polyneuropathy; e) more frequent alternating BP with recurrent episodes affecting different sides of the face. Diagnosis of BP rests on clinical examination, along with facial nerve electromyographic and electroneurographic evaluation. Management of BP in DM includes physical therapy, corticosteroids, and antiviral agents. Finally, acupuncture, low-level laser therapy, lipoprostaglandin E1, and stellate ganglion block are new modalities with initially promising results.",Stamatiou Iliana; Papachristou Stella; Papanas Nikolaos,Curr Diabetes Rev,2023,en,diabetes_tcm.csv
PMID39374878,39374878,Network pharmacology analysis revealed the mechanism and active compounds of jiao tai wan in the treatment of type 2 diabetes mellitus via SRC/PI3K/AKT signaling.,"[ETHNOPHARMACOLOGICAL RELEVANCE] Jiao-tai-wan (JTW) is a traditional Chinese herbal prescription, exerts its therapeutic effects on type 2 diabetes mellitus (T2DM). However, its mechanisms and active components remain unclear. [AIM OF THE STUDY] To investigate the therapeutic mechanisms of JTW in treating type 2 diabetes mellitus (T2DM), focusing on identifying active components, their targets, and validating efficacy through SRC/PI3K/AKT signaling pathway modulation in vitro and in vivo. [MATERIALS AND METHODS] Active ingredients were retrieved from the Traditional Chinese Medicine System Pharmacology (TCMSP) and Comprehensive Traditional Chinese Medicine Database (TCMID). Targets for these components were identified using the ChemMapper database based on 3D structural similarity. T2DM-related genes were sourced from the DisGeNET and Gene Expression Omnibus (GEO) databases. Protein-protein interaction (PPI) analysis and functional enrichment analysis were conducted to construct a pathway network of ""herbs-active ingredients-candidate targets"", identifying core molecular mechanisms and key active ingredients. SwissDock was used for molecular docking to predict ligands for candidate targets. The diabetic models were established using C57BL/6 mice and human liver HepG2 cell lines. Their Effectiveness and key molecules were verified through biochemical detection and immunoblotting. [RESULTS] Total 30 active compounds, 597 active ingredient targets, 9631 T2DM-related genes, and 521 overlapping candidate targets were found for JTW on T2DM. Go enrichment indicated the core pathways enriched on insulin and glucose metabolism. The auto-docking demonstrated SRC has potential binds to ingredients of JTW. In vivo, JTW can reduce blood glucose, and blood lipid levels, and HOMA-IR, and increase HOMA-ISI levels in T2DM mice with reduced ALT, AST, MDA levels and increased SOD levels. Meanwhile, decreased phosphorylation of SRC, along with increased levels of phosphorylated PI3K, PI3K, and phosphorylated AKT, were observed. HE staining of liver tissues further confirmed that JTW administration improved liver morphology, reducing inflammation and necrosis. In vitro, JTW significantly ameliorates upstream dysregulation by reducing SRC phosphorylation while enhancing phosphorylated PI3K, PI3K, and AKT phosphorylation levels. [CONCLUSION] JTW may alleviate glucose, insulin resistance, and lipid metabolism disorders by the SRC/PI3K/AKT signaling pathway, that provide a novel view of potential active compounds and essential targets in treating T2DM.",Ye Cunsi; Li Yumeng; Shi Jiayin; He Liena; Shi Xinyan; Yang Wei; Lei Wenbo; Quan Shijian; Lan Xiaopeng; Liu Shuangquan,J Ethnopharmacol,2025,en,diabetes_tcm.csv
