article_id,pmid,title,abstract,authors,journal,pub_year,language,source_file
PMID38746964,38746964,[Not Available].,"[INTRODUCTION-AIM] Flexible insulin therapy is currently considered the gold standard therapy of type 1 diabetes. We aimed to study the evolution of glycemic control, weight and nutritional intake of a group of patients with type 1 diabetes, three months after the initiation of functional insulin therapy (FIT). [METHODS] This was a prospective longitudinal study having included 30 type 1 diabetic patients hospitalized for education to FIT. Each patient underwent an assessment of glycemic control (glycated hemoglobin (A1C) and number of hypoglycemia), weight and nutritional intake before FIT and 3 months after the initiation of this educative approach. [RESULTS] The mean age of patients was 21,8 ± 7,9 years and the sex ratio was 0,5. The mean duration of diabetes was 7,2 ± 6 years. Three months after initiation of FIT, we observed a significant lowering of A1C, which went from 9,2 ± 1,6% to 8,3 ± 1,4% (p<0,001) of the number of minor hypoglycemia (p=0,001) and that of severe hypoglycemia (p= 0,021). the average weight went from 64,6 ± 13,1 kg to 65,5 ± 13,5 kg (p = 0,040) with a significant increase in BMI (p = 0,041). Weight gain was observed in 67% of patients. This weight gain contrasted with a significant decrease in caloric (p = 0,040) and in carbohydrates intakes (p = 0,027). [CONCLUSION] Weight gain, associated with better glycemic control, should encourage the healthcare team to strengthen therapeutic education of patients undergoing FIT in order to limit weight gain. Introduction - Objectif: L’insulinothérapie fonctionnelle est actuellement considérée le gold standard dans le traitement du diabète de type1. Etudier l’évolution du contrôle glycémique, du poids et des apports nutritionnels d’un groupe de patients diabétiques de type 1, trois mois après initiation de l’insulinothérapie fonctionnelle (IF).Méthodes: Il s’agissait d’une étude longitudinale prospective, menée auprès de 30 patients diabétiques de type 1, hospitalisés pour éducation à l’IF. Chaque patient a bénéficié d’une évaluation du contrôle glycémique (hémoglobine glyquée (HbA1c) et nombre d’hypoglycémies), du poids et des apports nutritionnels avant IF et après 3 mois sous IF.Résultats: L’âge moyen des patients était de 21,8 ± 7,9 ans. L’ancienneté moyenne du diabète était de 7,2 ± 6 ans. Après 3 mois sous IF, nous avons observé une baisse significative de l’HbA1c, qui est passée de 9,2 ± 1,6% à 8,3 ± 1,4% (p<0,001) du nombre des hypoglycémies mineures (p=0,001) et de celui des hypoglycémies sévères (p= 0,021). Le poids moyen est passé de 64,6 ± 13,1 kg à 65,5 ± 13,5 kg (p= 0,040) avec une augmentation significative de l’IMC (p=0,041). Une prise de poids a été observée dans 67% des cas. Cette prise pondérale a contrasté avec une diminution significative des apports caloriques (p= 0,040)) et des apports en hydrates de carbone (p=0,027).Conclusion: La prise de poids, associée à un meilleur contrôle glycémique, devrait inciter l’équipe soignante à renforcer l’éducation thérapeutique des patients sous IF afin de limiter le gain pondéral.",Ounaissa Kamilia; Madhbouh Meriem; Mahjoub Faten; Ben Amor Nadia; Abdesselem Haifa; Lahmar Ines; Gammoudi Amel; Amrouche Chiraz; Jamoussi Kamoun Henda,Tunis Med,2024,en,insulin.csv
PMID34326234,34326234,"Type 1 diabetes glycemic management: Insulin therapy, glucose monitoring, and automation.","Despite innovations in insulin therapy since its discovery, most patients living with type 1 diabetes do not achieve sufficient glycemic control to prevent complications, and they experience hypoglycemia, weight gain, and major self-care burden. Promising pharmacological advances in insulin therapy include the refinement of extremely rapid insulin analogs, alternate insulin-delivery routes, liver-selective insulins, add-on drugs that enhance insulin effect, and glucose-responsive insulin molecules. The greatest future impact will come from combining these pharmacological solutions with existing automated insulin delivery methods that integrate insulin pumps and glucose sensors. These systems will use algorithms enhanced by machine learning, supplemented by technologies that include activity monitors and sensors for other key metabolites such as ketones. The future challenges facing clinicians and researchers will be those of access and broad clinical implementation.",Perkins Bruce A; Sherr Jennifer L; Mathieu Chantal,Science,2021,en,insulin.csv
PMID29063208,29063208,Glucometrics and Insulinometrics.,"[PURPOSE OF REVIEW] Glucometrics is the systematic analysis of inpatient glucose data and is of key interest as hospitals strive to improve inpatient glycemic control. Insulinometrics is the systematic analysis and reporting of inpatient insulin therapy. This paper reviews some of the questions to be resolved before a national benchmarking process can be developed that will allow institutions to track and compare inpatient glucose control performance against established guidelines. [RECENT FINDINGS] There remains a lack of standardization on how glucometircs should be measured and reported. Before hospitals can commit resources to compiling and extracting data, consensus must be reached on such questions as which measures to report, definitions of glycemic targets, and how data should be obtained. Examples are provided on how insulin administration can be measured and reported. Hospitals should begin assessment of glucometrics and insulinometrics. However, consensus and standardization must first occur to allow for a national benchmarking process.",Thompson Bithika M; Cook Curtiss B,Curr Diab Rep,2017,en,insulin.csv
PMID16845238,16845238,Basal-prandial insulin therapy: Scientific concept review and application.,"The majority of patients with type 2 diabetes mellitus (T2DM) eventually require the addition of basal insulin to existing oral therapy to achieve the glycemic goals set forth by the American Diabetes Association (A1C, <7.0%). In many patients with T2DM, insulin is the only option for achieving glycemic control and may be used successfully to attain glycemic targets in regimens that combine basal insulin with oral antidiabetic agents, or in regimens that combine basal insulin with mealtime (prandial) insulin. Basal-prandial insulin regimens that use a long-acting insulin analogue to control the fasting plasma glucose level and a short-acting insulin analogue for post-meal glucose excursions replace insulin in a manner that most closely approximates normal physiologic patterns. The current body of evidence demonstrates that such regimens will prove to be the optimal strategy for achieving glycemic control in patients with T2DM who require both basal and prandial insulin replacement. Here, we review current findings in the published literature on the efficacy of basal-prandial insulin, with a focus on practical information that might help to provide an evidence-based guide for progressing to basal-prandial insulin therapy in appropriate patients with T2DM.",Leahy Jack L,Am J Med Sci,2006,en,insulin.csv
PMID17079829,17079829,Insulin therapy.,"Optimal glycemic control in type 1 diabetes mellitus (T1DM) requires Intensive Insulin Therapy. Implementation of intensive therapy should be early and prolonged as suggested by the results of Diabetes control and complications trial and Epidemiology of Diabetes Interventions and Complications (EDIC) study. Proper implementation of intensive therapy requires a course teaching flexible intensive insulin treatment combining dietary freedom and insulin adjustment as shown by the Dose adjustment for normal eating (DAFNE) randomized controlled trial. Pen injectors appear to be feasible for routine use although pumps may be required in special situations. Various types of insulin are available in the market, including newer analogs (Iispro, aspart, glargine). Although insulin analogs seem to be more physiological, controlled studies suggested either similar efficacy to regular insulin or only a minor benefit in favor of insulin analogs. The primary concern in developing countries like India is the cost-benefit ratio of short acting insulin analogs in the treatment of diabetic children but this still remains unclear. It would be premature to recommend switching patients to newer analogs especially those who are well controlled, especially when the long-term data is still awaited. The choice of post-meal short acting insulin in toddlers may be decided by the care provider if deemed appropriate. Noninvasive insulin deliveries are now in development. It does appear that the most clinically viable non-invasive system to date may be pulmonary delivery.",Yadav S; Parakh Ankit,Indian Pediatr,2006,en,insulin.csv
PMID39379044,39379044,Type 1 Diabetes and Pregnancy: Challenges in Glycemic Control and Maternal-Fetal Outcomes.,"Managing type 1 diabetes during pregnancy presents significant challenges due to physiological and hormonal changes. These factors contribute to major changes in insulin sensitivity, complicating efforts to achieve and sustain optimal blood glucose levels. Poorly controlled glucose levels during pregnancy can result in diabetic embryopathy and elevate the risks of maternal complications such as hypertensive disorders and diabetic ketoacidosis. Fetal complications may include preterm birth, fetal demise, and admission to neonatal intensive care units. It is essential to recognize that there is no universal approach to managing glycemic control in pregnant women with T1DM and care should be individualized. Effective management requires a multidisciplinary approach involving regular monitoring, adjustments in insulin therapy, dietary modifications, and consistent prenatal care. Continuous glucose monitoring has emerged as a valuable tool for real-time glucose monitoring, facilitating tighter glycemic control. Education and support for self-management are important in addressing these challenges. Future developments in technology and personalized approaches to care show promising potential for advancing diabetes management during pregnancy. This provides a comprehensive overview of current literature on the challenges with the management of T1DM during pregnancy, focusing on its impact on maternal and neonatal outcomes and highlighting effective strategies for achieving optimal glycemic control.",Apata Tejumola; Samuel Dennis; Valle Laticia; Crimmins Sarah D,Semin Reprod Med,2024,en,insulin.csv
PMID32435867,32435867,Diabetes and COVID-19 : Disease-Management-People.,"The current pandemic of SARS-CoV‑2 coronavirus disease 2019 (COVID-19) is a particular challenge for diabetes patients. Diabetes mellitus predisposes to a particularly severe course of the disease and doubles the COVID-19 mortality risk due to pulmonary and cardiac involvement. In addition, diabetes patients often suffer from comorbidities which further worsen clinical outcomes. Glycemic control during infectious diseases is often suboptimal, and antidiabetic drugs and insulin therapy have to be adapted accordingly. On the other hand, access of diabetes patients to outpatient clinics are limited during the ongoing season urging alternative treatment options, particularly the implementation of novel telemedicine strategies. Hence, the opportunity of the COVID 19 crisis should be taken to make a significant step forward in the care for diabetes patients.",Peric Slobodan; Stulnig Thomas M,Wien Klin Wochenschr,2020,en,insulin.csv
PMID31216874,31216874,Glucose-Responsive Insulin Through Bioconjugation Approaches.,"Although insulin analogs have markedly improved glycemic control for people with diabetes, glycemic excursions still cause major health problems and complications. In particular, the narrow therapeutic window of current insulin therapy makes it extremely difficult to maintain normoglycemia without risking severe hypoglycemia. Currently, there are no FDA-approved insulin therapeutics whose bioactivity is regulated by blood glucose levels. This review discusses recent progress on developing glucose-responsive insulin (GRI) bioconjugates without the need of exogenous matrices. Through this approach, tremendous efforts have been made over the years to demonstrate the promise of better glycemic control and reduced risk of hypoglycemia. Last, we discuss future directions of GRI development with a goal to maximize the glucose responsiveness.",Disotuar Maria M; Chen Diao; Lin Nai-Pin; Chou Danny Hung-Chieh,J Diabetes Sci Technol,2020,en,insulin.csv
PMID11838327,11838327,Insulin therapy: optimizing control in type 1 and type 2 diabetes.,"Insulin has been available for therapeutic use for more than 75 years and remains a powerful pharmacologic tool with nearly unlimited potential to lower plasma glucose levels in patients with diabetes. Required essentially by all patients with type 1 diabetes and many patients with type 2 diabetes, insulin is capable of restoring near-normoglycemia--the primary treatment goal to forestall the onset and progression of long-term complications. Attainment and maintenance of near-normal glycemic control can be achieved with the use of insulin replacement strategies designed to simulate the physiologic, nondiabetic patterns of insulin secretion in response to 24-hour postabsorptive and postprandial glucose profiles. This article reviews the physiologic basis and current therapeutic agents for optimal insulin replacement and provides practical clinical guidelines and strategies to achieve near-normal glycemic control in patients with either type 1 or type 2 diabetes.",Rosenstock J,Clin Cornerstone,2001,en,insulin.csv
PMID18514086,18514086,Initiating and intensifying insulin therapy in type 2 diabetes mellitus.,"Although insulin therapy for type 2 diabetes mellitus is perceived to be challenging to initiate and intensify, it forms a vital part of treatment as the disease progresses. This review discusses the challenges, real and perceived, faced by patients and their carers, and presents some practical suggestions concerning patient education and management of insulin therapy. A positive attitude toward insulin therapy can be achieved through patient education that focuses on disease pathophysiology and active involvement in treatment that enables them to manage concerns such as possible hypoglycemia, weight gain, and injection anxiety. Insulin analogues have more physiologic time-action profiles and are more convenient compared with older human insulins. Clinical trials show that insulin analogue regimens enable glycemic targets to be achieved with potentially less risk for hypoglycemia and more convenient dosing. Furthermore, finer needles and more convenient insulin-delivery systems are now available. With titration algorithms, intensification of an insulin regimen to improve glycemic control is relatively straightforward. Furthermore, patients with type 2 diabetes are less susceptible to hypoglycemia than are those with type 1 diabetes. With modern treatment options, insulin therapy need no longer be feared by patients with type 2 diabetes or their carers. Many common concerns in this respect are unfounded, and today's insulin regimens are generally simple, effective, and well tolerated.",Tibaldi Joseph,Am J Med,2008,en,insulin.csv
