article_id,pmid,title,abstract,authors,journal,pub_year,language,source_file
PMID38197310,38197310,Network pharmacology: towards the artificial intelligence-based precision traditional Chinese medicine.,"Network pharmacology (NP) provides a new methodological perspective for understanding traditional medicine from a holistic perspective, giving rise to frontiers such as traditional Chinese medicine network pharmacology (TCM-NP). With the development of artificial intelligence (AI) technology, it is key for NP to develop network-based AI methods to reveal the treatment mechanism of complex diseases from massive omics data. In this review, focusing on the TCM-NP, we summarize involved AI methods into three categories: network relationship mining, network target positioning and network target navigating, and present the typical application of TCM-NP in uncovering biological basis and clinical value of Cold/Hot syndromes. Collectively, our review provides researchers with an innovative overview of the methodological progress of NP and its application in TCM from the AI perspective.",Zhang Peng; Zhang Dingfan; Zhou Wuai; Wang Lan; Wang Boyang; Zhang Tingyu; Li Shao,Brief Bioinform,2023,en,network_pharmacology_tcm.csv
PMID23787177,23787177,"Traditional Chinese medicine network pharmacology: theory, methodology and application.","Traditional Chinese medicine (TCM) has a long history of viewing an individual or patient as a system with different statuses, and has accumulated numerous herbal formulae. The holistic philosophy of TCM shares much with the key ideas of emerging network pharmacology and network biology, and meets the requirements of overcoming complex diseases, such as cancer, in a systematic manner. To discover TCM from a systems perspective and at the molecular level, a novel TCM network pharmacology approach was established by updating the research paradigm from the current ""one target, one drug"" mode to a new ""network target, multi-components"" mode. Subsequently, a set of TCM network pharmacology methods were created to prioritize disease-associated genes, to predict the target profiles and pharmacological actions of herbal compounds, to reveal drug-gene-disease co-module associations, to screen synergistic multi-compounds from herbal formulae in a high-throughput manner, and to interpret the combinatorial rules and network regulation effects of herbal formulae. The effectiveness of the network-based methods was demonstrated for the discovery of bioactive compounds and for the elucidation of the mechanisms of action of herbal formulae, such as Qing-Luo-Yin and the Liu-Wei-Di-Huang pill. The studies suggest that the TCM network pharmacology approach provides a new research paradigm for translating TCM from an experience-based medicine to an evidence-based medicine system, which will accelerate TCM drug discovery, and also improve current drug discovery strategies.",Li Shao; Zhang Bo,Chin J Nat Med,2013,en,network_pharmacology_tcm.csv
PMID36858276,36858276,"Network pharmacology, a promising approach to reveal the pharmacology mechanism of Chinese medicine formula.","[ETHNOPHARMACOLOGICAL RELEVANCE] Network pharmacology is a new discipline based on systems biology theory, biological system network analysis, and multi-target drug molecule design specific signal node selection. The mechanism of action of TCM formula has the characteristics of multiple targets and levels. The mechanism is similar to the integrity, systematization and comprehensiveness of network pharmacology, so network pharmacology is suitable for the study of the pharmacological mechanism of Chinese medicine compounds. [AIM OF THE STUDY] The paper summarizes the present application status and existing problems of network pharmacology in the field of Chinese medicine formula, and formulates the research ideas, up-to-date key technology and application method and strategy of network pharmacology. Its purpose is to provide guidance and reference for using network pharmacology to reveal the modern scientific connotation of Chinese medicine. [MATERIALS AND METHODS] Literatures in this review were searched in PubMed, China National Knowledge Infrastructure (CNKI), Web of Science, ScienceDirect and Google Scholar using the keywords ""traditional Chinese medicine"", ""Chinese herb medicine"" and ""network pharmacology"". The literature cited in this review dates from 2002 to 2022. [RESULTS] Using network pharmacology methods to predict the basis and mechanism of pharmacodynamic substances of traditional Chinese medicines has become a trend. [CONCLUSION] Network pharmacology is a promising approach to reveal the pharmacology mechanism of Chinese medicine formula.",Zhao Li; Zhang Hong; Li Ning; Chen Jinman; Xu Hao; Wang Yongjun; Liang Qianqian,J Ethnopharmacol,2023,en,network_pharmacology_tcm.csv
PMID35610020,35610020,Integration strategy of network pharmacology in Traditional Chinese Medicine: a narrative review.,"Traditional Chinese Medicine (TCM) has been extensively used as a mainstay for treating various pathologies. Combing the pharmacology and systems biology approaches, the network pharmacology (NP) approach was developed to predict the probable mechanism underlying the therapeutic effect of TCM. However, approaches solely based on NP cannot effectively elucidate the curative mechanism in a holistic and reliable manner due to limitations in NP-based methods and complexity of TCM components. Thus, integration strategies combining NP with other approaches are increasingly being used. Since the interdisciplinary research in TCM has received much attention in the advent of the big data era of which the NP-based integration strategy is broadly used, the strategy is clearly elaborated in the present review. We summarized several NP-based integration strategies and their applications in TCM studies, including multi-omics approach, gut microbiota study, chemical information analysis, data-mining, and network toxicology study.",Jiashuo W U; Fangqing Zhang; Zhuangzhuang L I; Weiyi Jin; Yue Shi,J Tradit Chin Med,2022,en,network_pharmacology_tcm.csv
PMID39800680,39800680,Network pharmacology: a crucial approach in traditional Chinese medicine research.,"Network pharmacology plays a pivotal role in systems biology, bridging the gap between traditional Chinese medicine (TCM) theory and contemporary pharmacological research. Network pharmacology enables researchers to construct multilayered networks that systematically elucidate TCM's multi-component, multi-target mechanisms of action. This review summarizes key databases commonly used in network pharmacology, including those focused on herbs, components, diseases, and dedicated platforms for network pharmacology analysis. Additionally, we explore the growing use of network pharmacology in TCM, citing literature from Web of Science, PubMed, and CNKI over the past two decades with keywords like ""network pharmacology"", ""TCM network pharmacology"", and ""herb network pharmacology"". The application of network pharmacology in TCM is widespread, covering areas such as identifying the material basis of TCM efficacy, unraveling mechanisms of action, and evaluating toxicity, safety, and novel drug development. However, challenges remain, such as the lack of standardized data collection across databases and insufficient consideration of processed herbs in research. Questions also persist regarding the reliability of study outcomes. This review aims to offer valuable insights and reference points to guide future research in precision TCM network pharmacology.",Zhai Yiyan; Liu Liu; Zhang Fanqin; Chen Xiaodong; Wang Haojia; Zhou Jiying; Chai Keyan; Liu Jiangying; Lei Huiling; Lu Peiying; Guo Meiling; Guo Jincheng; Wu Jiarui,Chin Med,2025,en,network_pharmacology_tcm.csv
PMID39305743,39305743,Network pharmacology provides new insights into the mechanism of traditional Chinese medicine and natural products used to treat pulmonary hypertension.,"[BACKGROUND] Pulmonary hypertension (PH) is a rare cardiovascular disease with high morbidity and mortality rates. It is characterized by increased pulmonary arterial pressure. Current research into relevant therapeutic drugs and targets for PH, however, is insufficient still. Traditional Chinese medicine (TCM) and natural products have a long history as therapeutics for PH. Network pharmacology is an approach that integrates drug-target interactions and signaling pathways based on biomarkers information obtained from drug and disease databases. The concept of network pharmacology shows many similarities with the TCM philosophy. Network pharmacology help elucidate the mechanisms of TCM in PH. This review presents representative applications of network pharmacology in the study of the mechanisms of TCM and natural products for the treatment of PH. [METHODS] In this review, we used (""pulmonary hypertension"" OR ""pulmonary arterial hypertension"" OR ""chronic thromboembolic pulmonary hypertension"") AND (""network pharmacology"" OR ""systematic pharmacology"") as keywords to search for reports from PubMed, Web of Science, and Google Scholar databases from ten years ago. The studies were screened and those chosen are summarized here. The TCM and natural products inPH and their corresponding targets and signaling pathways are described. Additionally, we discuss the application of network pharmacology in the study of TCM in PH to provide insights for future application strategies. [RESULTS] Network pharmacology have shown that AKT-related pathways, HIF-1 signaling pathway, MAPK signaling pathway, TGF-β-Smad pathway, cell cycle-related pathways and inflammation-related pathways are the main signaling pathways enriched in the PH targets of TCM. Reservatrol, curcumol, genistin, formononetin, wogonin, luteolin, baicalein, berberine, triptolide and tanshinone llA are active ingredients specific for PH treatment. A number of databases and tools specific for the treatment of PH are used in network pharmacology and natural product research. [CONCLUSION] Through the reasonable combination of molecular docking, omics technology and bioinformatics technology, the mechanism of multi-targets can be explained more comprehensively. Analyzing the complex mechanism of TCM from the clinical perspective may be a potential development trend of network pharmacology. Combination of predicted targets and traditional pharmacology improves efficiency of drug development.",Wang Xinyue; Wang Yichen; Yuan Tianyi; Wang Hongjuan; Zeng Zuomei; Tian Leiyu; Cui Lidan; Guo Jian; Chen Yucai,Phytomedicine,2024,en,network_pharmacology_tcm.csv
PMID30846939,30846939,Network Pharmacology Databases for Traditional Chinese Medicine: Review and Assessment.,"The research field of systems biology has greatly advanced and, as a result, the concept of network pharmacology has been developed. This advancement, in turn, has shifted the paradigm from a ""one-target, one-drug"" mode to a ""network-target, multiple-component-therapeutics"" mode. Network pharmacology is more effective for establishing a ""compound-protein/gene-disease"" network and revealing the regulation principles of small molecules in a high-throughput manner. This approach makes it very powerful for the analysis of drug combinations, especially Traditional Chinese Medicine (TCM) preparations. In this work, we first summarized the databases and tools currently used for TCM research. Second, we focused on several representative applications of network pharmacology for TCM research, including studies on TCM compatibility, TCM target prediction, and TCM network toxicology research. Third, we compared the general statistics of several current TCM databases and evaluated and compared the search results of these databases based on 10 famous herbs. In summary, network pharmacology is a rational approach for TCM studies, and with the development of TCM research, powerful and comprehensive TCM databases have emerged but need further improvements. Additionally, given that several diseases could be treated by TCMs, with the mediation of gut microbiota, future studies should focus on both the microbiome and TCMs to better understand and treat microbiome-related diseases.",Zhang Runzhi; Zhu Xue; Bai Hong; Ning Kang,Front Pharmacol,2019,en,network_pharmacology_tcm.csv
PMID34857023,34857023,Traditional Chinese Medicine for adjuvant treatment of breast cancer: Taohong Siwu Decoction.,"The high incidence of breast cancer is the greastest threat to women' health all over the world. Among them, HER-2 positive breast cancer has the characteristics of high malignancy, easy recurrence and metastasis, and poor prognosis. Traditional Chinese medicine (TCM) has a rich theoretical basis and clinical application for breast cancer. TCM believes that blood stasis syndrome is one of the important pathogenesis of breast formation and development. Taohong Siwu Decoction (TSHWD) is based on the ""First Prescription of Gynecology"" Siwu Decoction. It is widely used in various blood stasis and blood deficiency syndromes, mainly in gynecological blood stasis. Clinical studies have found that THSWD can treat breast cancer by reducing blood vessel and lymphangiogenesis with auxiliary chemotherapy. In this study, we aim to explore the material basis and mechanism of THSWD in the treatment of HER-2 positive breast cancer through literature review and network pharmacology studies. Through a literature review of the traditional application, chemical composition of Chinese herbal medicine of THSWD, as well as its clinical reports and pharmacological research on breast cancer treatment. Meanwhile, we conducted ""component-pathway-target"" network through network pharmacology reveals the main material basis, possible targets and pathways of THSWD in inhibiting HER-2 positive breast cancer. Literature review and network pharmacology research results had predicted that, baicalein, kaempferol, caffeic acid, amygdalin, quercetin, ferulic acid, gallic acid, catalpol, hydroxysafflor yellow A, paeoniflorin in THSWD are the main effective chemical composition. THSWD regulates 386 protein targets and 166 pathways related to breast cancer. The molecular mechanism is mainly to improve the microenvironment of tumor cells, regulate the process of tumor cell EMT, and inhibit tumor cell proliferation and metastasis. This study revealed the mechanism of action of THSWD in the treatment of HER-2 positive breast cancer through literature review and network pharmacology studies, providing a scientific basis for clinical application.",Jiang Huajuan; Li Minmin; Du Kequn; Ma Chuan; Cheng Yanfen; Wang Shengju; Nie Xin; Fu Chaomei; He Yao,Chin Med,2021,en,network_pharmacology_tcm.csv
PMID35367781,35367781,"Mechanisms underlying the therapeutic effects of Qingfeiyin in treating acute lung injury based on GEO datasets, network pharmacology and molecular docking.","[BACKGROUND] Qingfeiyin (QFY) is a common Chinese herbal formula for the treatment of acute lung injury (ALI). However, its mechanisms of action are unclear. In this study, we systematically explored the effects and mechanism of action of QFY in ALI using network pharmacology and molecular docking. [METHODS] Active compounds and targets of QFY were obtained from TCMSP and TCMID. ALI-related targets were retrieved from GEO datasets combined with GeneCards, OMIM, and TTD databases. A protein-protein interaction (PPI) network was built to screen the core targets. DAVID was used for GO and KEGG pathway enrichment analyses. The tissue and organ distribution of targets was evaluated. Interactions between potential targets and active compounds were assessed by molecular docking. A molecular dynamics simulation was conducted for the optimal core protein-compound complexes obtained by molecular docking. [RESULTS] In total, 128 active compounds and 121 targets of QFY were identified. A topological analysis of the PPI network revealed 13 core targets. GO and KEGG pathway enrichment analyses indicated that the effects of QFY are mediated by genes related to inflammation, apoptosis, and oxidative stress as well as the MAPK and PI3K-Akt signaling pathways. Molecular docking and molecular dynamics simulations revealed good binding ability between the active compounds and screened targets. [CONCLUSIONS] This study successfully predict the effective components and potential targets and pathways involved in the treatment of ALI for QFY. We provided a novel strategy for future research of molecular mechanisms of QFY in ALI treatment. Moreover, the potential active ingredients provide a reliable source for drug screening for ALI.",Wang Ying; Yuan Yuan; Wang Wenting; He Ying; Zhong Hong; Zhou Xiaoxia; Chen Yong; Cai Xin-Jun; Liu Li-Qin,Comput Biol Med,2022,en,network_pharmacology_tcm.csv
PMID39606265,39606265,Network pharmacology for traditional Chinese medicine in era of artificial intelligence.,"Traditional Chinese Medicine Network Pharmacology (TCM-NP) is an interdisciplinary discipline that integrates information science, systems biology, network science and pharmacology, providing a systematic research methodology for TCM studies. With the development of artificial intelligence (AI) and multi-omics technologies, TCM-NP has entered a new era and can incorporate multimodal and high-dimensional data in the context of big data to enhance both theoretical foundations and technical capabilities. Despite its advancement, TCM-NP still faces challenges, particularly in ensuring the quality of data and research, as well as achieving more profound scientific discoveries. The field needs further innovation to obtain more precise and biomedically meaningful results. Overall research progress in TCM-NP depends on developing more accurate algorithms together with utilizing higher-quality and larger-scale data. This paper gives a perspective on the trends and characteristics of TCM-NP development and application in the era of AI.",Zhao Weibo; Wang Boyang; Li Shao,Chin Herb Med,2024,en,network_pharmacology_tcm.csv
