article_id,pmid,title,abstract,authors,journal,pub_year,language,source_file
PMID37143014,37143014,Acupuncture for post-stroke depression: a systematic review and network meta-analysis.,"[BACKGROUND] Patients with post-stroke depression (PSD) usually experience anxiety, hopelessness, and insomnia, which have a negative impact on their daily activities and post-stroke rehabilitation. Acupuncture (AC), as a minimally invasive technique, has become a popular choice for improving depression symptoms. However, it is still unclear which therapy is associated with the best outcomes for PSD. In this review, we aimed to explore the impact of AC in alleviating symptoms of PSD and to evaluate the difference in effectiveness between AC combined with pharmacotherapies and various non-pharmacotherapies. [METHODS] Six databases and three clinical trials registration platforms were searched from inception to March 2023. Randomized clinical trial comparing needle-based AC with pharmacotherapy, and other non-pharmacotherapy or invalid group were included. Two independent reviewers identified eligible studies, and collected data using a pre-made form. A Bayesian network meta-analysis was conducted to assess and compare different techniques using RStudio 3.6.0 with the package 'GEMTC' V.0.8.1. The primary outcome was the efficacy for PSD assessed by scales measuring depressive symptoms. The secondary outcomes were effectiveness for neurological function and the quality of life. The ranking probabilities for all treatment interventions was performed using the Surface Under the Cumulative Ranking curve (SUCRA). The risk of bias was assessed by using the Revised Cochrane Risk of Bias tool 2. [RESULTS] Sixty-two studies, involving 5308 participants published from 2003 to 2022, were included. The results showed that compared with western medicine (WM) (defined as pharmacotherapy for PSD), AC alone or with repetitive transcranial magnetic stimulation (RTMS), Traditional Chinese medicine (TCM) alone or with WM, were superior for alleviating depression symptoms. Compared to Usual Care, AC alone or plus other therapies could significantly decrease scores on the Hamilton Depression Rating scale. According to result of SUCRA, AC plus RTMS had the highest probability of improving depressive symptoms with a probability of 49.43%. [CONCLUSIONS] The results of this study indicate that AC alone or combined with other therapies appears to be effective in improving depression symptoms of stroke survivors. Moreover, in comparison to WM, AC alone or plus RTMS, TCM, TCM with WM, or WM, were more effective in improving depression symptoms of PSD. Also, AC with RTMS seems to be the most effective with the highest probability. [REGISTRATION] This study was registered in the International Prospective Register of Systematic Reviews (PROSPERO) database in November 2020 and updated in July 2021. The registration number is CRD42020218752.",Lam Ching Wai; Li Hui Juan; Guo Jianwen; Yao Liang; Chau Janita; Lo Suzanne; Yuen Chun Sum; Ng Bacon Fung Leung; Chau-Leung Yu Edwin; Bian Zhaoxiang; Lau Alexander Y; Zhong Linda Ld,BMC Psychiatry,2023,en,stroke_tcm.csv
PMID34446530,34446530,Would integrated Western and traditional Chinese medicine have more benefits for stroke rehabilitation? A systematic review and meta-analysis.,"[BACKGROUND] Stroke is a major cause of death or long-term disability worldwide. Many patients with stroke receive integrative therapy consisting of Western medicine (WM) and routine rehabilitation in conjunction with Chinese medicine (CM), such as acupuncture and Chinese herbal medicine. However, there is no available evidence on the effectiveness of the combined use of WM and CM interventions in stroke rehabilitation. [AIMS] The purpose of this meta-analysis is to evaluate the results of all individual studies to assess the combined use of CM and WM in stroke rehabilitation compared with WM only. [METHODS] The Preferred Reporting Items for Systematic Reviews and Meta-Analysis guidelines were followed. MEDLINE, EMBASE, Cochrane and China National Knowledge Infrastructure (CNKI) were searched. The included outcomes were dependency, motor function, depression and swallowing function. Subgroup analysis was performed, and publication bias was assessed using funnel plots. [SUMMARY OF REVIEW] 58 studies and 6339 patients were included in the meta-analysis. Subgroup analysis revealed that combined therapy comprising both acupuncture and WM had a superior effect on improving dependency and swallowing function compared with standard WM therapy alone. Potential superiority of combined therapy comprising CM and WM in improving depression compared with standard WM therapy was also found. [CONCLUSIONS] Our results indicate that the combined use of CM and WM could be more efficacious in stroke rehabilitation compared with the use of WM therapy alone. However, most studies were short in duration (2 to 4 weeks) and prone to different types of biases, which prevents making any conclusion regarding the long-term effects and raises concerns regarding true efficacy in context of high likelihood of Hawthorn bias. So, more randomised controlled trials with more rigorous design and longer duration of treatment and follow-up need to be conducted to compare WM alone versus WM and CM combined. [PROSPERO REGISTRATION NUMBER] CRD42020152050.",Zhong Linda Ld; Zheng Ya; Lau Alexander Y; Wong Norman; Yao Liang; Wu Xingyao; Shao Tengteng; Lu Zhenxing; Li Huijuan; Yuen Chun Sum; Guo Jianwen; Lo Suzanne; Chau Janita; Chan Kam Wa; Ng Bacon Fung Leung; Bian Zhaoxiang; Yu Edwin Chau-Leung,Stroke Vasc Neurol,2022,en,stroke_tcm.csv
PMID39069104,39069104,"Acupuncture, an effective treatment for post-stroke neurologic dysfunction.","Stroke episodes represent a significant subset of cerebrovascular diseases globally, often resulting in diverse neurological impairments such as hemiparesis, spasticity, dysphagia, sensory dysfunction, cognitive impairment, depression, aphasia, and other sequelae. These dysfunctions markedly diminish patients' quality of life and impose substantial burdens on their families and society. Consequently, the restoration of neurological function post-stroke remains a primary objective of clinical treatment. Acupuncture, a traditional Chinese medicine technique, is endorsed by the World Health Organization (WHO) for stroke treatment due to its distinct advantages in managing cerebrovascular diseases, including ischemic stroke. Numerous clinical studies have substantiated the efficacy of acupuncture in ameliorating neurological dysfunctions following stroke. This review systematically examines the improvements in post-stroke neurological dysfunction attributable to acupuncture treatment and elucidates potential mechanisms of action proposed in recent years. Additionally, this article aims to present novel therapeutic concepts and strategies for the clinical management of post-stroke neurological dysfunction.",Zhang You; Tang Yi-Wen; Peng Yu-Ting; Yan Zi; Zhou Jin; Yue Zeng-Hui,Brain Res Bull,2024,en,stroke_tcm.csv
PMID29143805,29143805,Mechanisms of Acupuncture Therapy in Ischemic Stroke Rehabilitation: A Literature Review of Basic Studies.,"Acupuncture is recommended by the World Health Organization (WHO) as an alternative and complementary strategy for stroke treatment and for improving stroke care. Clinical trial and meta-analysis findings have demonstrated the efficacy of acupuncture in improving balance function, reducing spasticity, and increasing muscle strength and general well-being post-stroke. The mechanisms underlying the beneficial effects of acupuncture in stroke rehabilitation remain unclear. The aim of this study was to conduct a literature review, summarize the current known mechanisms in ischemic stroke rehabilitation through acupuncture and electroacupuncture (EA) therapy, and to detail the frequently used acupoints implicated in these effects. The evidence in this review indicates that five major different mechanisms are involved in the beneficial effects of acupuncture/EA on ischemic stroke rehabilitation: (1) Promotion of neurogenesis and cell proliferation in the central nervous system (CNS); (2) Regulation of cerebral blood flow in the ischemic area; (3) Anti-apoptosis in the ischemic area; (4) Regulation of neurochemicals; and, (5) Improvement of impaired long-term potentiation (LTP) and memory after stroke. The most frequently used acupoints in basic studies include Baihui (GV20), Zusanli (ST36), Quchi (LI11), Shuigou (GV26), Dazhui (GV14), and Hegu (LI4). Our findings show that acupuncture exerts a beneficial effect on ischemic stroke through modulation of different mechanisms originating in the CNS.",Chavez Lina M; Huang Shiang-Suo; MacDonald Iona; Lin Jaung-Geng; Lee Yu-Chen; Chen Yi-Hung,Int J Mol Sci,2017,en,stroke_tcm.csv
PMID38252438,38252438,Effect of Acupuncture vs Sham Acupuncture on Patients With Poststroke Motor Aphasia: A Randomized Clinical Trial.,"[IMPORTANCE] Motor aphasia is common among patients with stroke. Acupuncture is recommended as an alternative therapy for poststroke aphasia, but its efficacy remains uncertain. [OBJECTIVE] To investigate the effects of acupuncture on language function, neurological function, and quality of life in patients with poststroke motor aphasia. [DESIGN, SETTING, AND PARTICIPANTS] This multicenter, sham-controlled, randomized clinical trial was conducted in 3 tertiary hospitals in China from October 21, 2019, to November 13, 2021. Adult patients with poststroke motor aphasia were enrolled. Data analysis was performed from February to April 2023. [INTERVENTIONS] Eligible participants were randomly allocated (1:1) to manual acupuncture (MA) or sham acupuncture (SA) groups. Both groups underwent language training and conventional treatments. [MAIN OUTCOMES AND MEASURES] The primary outcomes were the aphasia quotient (AQ) of the Western Aphasia Battery (WAB) and scores on the Chinese Functional Communication Profile (CFCP) at 6 weeks. Secondary outcomes included WAB subitems, Boston Diagnostic Aphasia Examination, National Institutes of Health Stroke Scale, Stroke-Specific Quality of Life Scale, Stroke and Aphasia Quality of Life Scale-39, and Health Scale of Traditional Chinese Medicine scores at 6 weeks and 6 months after onset. All statistical analyses were performed according to the intention-to-treat principle. [RESULTS] Among 252 randomized patients (198 men [78.6%]; mean [SD] age, 60.7 [7.5] years), 231 were included in the modified intention-to-treat analysis (115 in the MA group and 116 in the SA group). Compared with the SA group, the MA group had significant increases in AQ (difference, 7.99 points; 95% CI, 3.42-12.55 points; P = .001) and CFCP (difference, 23.51 points; 95% CI, 11.10-35.93 points; P < .001) scores at week 6 and showed significant improvements in AQ (difference, 10.34; 95% CI, 5.75-14.93; P < .001) and CFCP (difference, 27.43; 95% CI, 14.75-40.10; P < .001) scores at the end of follow-up. [CONCLUSIONS AND RELEVANCE] In this randomized clinical trial, patients with poststroke motor aphasia who received 6 weeks of MA compared with those who received SA demonstrated statistically significant improvements in language function, quality of life, and neurological impairment from week 6 of treatment to the end of follow-up at 6 months after onset. [TRIAL REGISTRATION] Chinese Clinical Trial Registry: ChiCTR1900026740.",Li Boxuan; Deng Shizhe; Zhuo Bifang; Sang Bomo; Chen Junjie; Zhang Menglong; Tian Guang; Zhang Lili; Du Yuzheng; Zheng Peng; Yue Gonglei; Meng Zhihong,JAMA Netw Open,2024,en,stroke_tcm.csv
PMID33371155,33371155,Effect of acupuncture treatment on post-stroke cognitive impairment: A randomized controlled trial.,"[INTRODUCTION] Post-stroke cognitive impairment (PSCI), which has a high morbidity, is closely associated with the recurrence and rehabilitation of ischemic stroke. There are 2 different stages of PSCI, including post-stroke cognitive impairment with no dementia (PSCIND) and post-stroke dementia (PSD). The latter has a significantly higher mortality rate than the previous one. Therefore, preventing the onset of PSD is of vital importance. However, there is no unequivocally effective prevention or treatment for PSCI, except intensive secondary prevention of stroke. The primary aim of this protocol is to explore whether acupuncture can improve cognitive function of patients with PSCIND and reduce the chances of developing PSD. On this bias, we also want to explore its possible mechanisms. [METHODS AND ANALYSIS] A prospective, multicenter, large sample, randomized controlled trial will be conducted. A total of 360 eligible patients will be recruited from 5 different hospitals and randomly allocated into the acupuncture group (AG), sham acupuncture group (NAG), and waiting-list group (WLG) in a 1:1:1 ratio. The intervention period of NAG and AG will last 3 months (30 minutes per day, 3 times per week). Primary and secondary outcomes will be measured at baseline, 12 weeks (at the end of the intervention), 24 weeks (after the 12-week follow-up period), and 36 weeks (after the 24-week follow-up period). Resting-state and task-state functional MRI will be conducted at baseline and 12 weeks. [ETHICS AND DISSEMINATION] The ethic committee of First Teaching Hospital of University of Traditional Chinese Medicine approved the study. Study results will be first informed to each participant and later disseminated to researchers, and the general public through courses, presentations and the internet, regardless of the magnitude or direction of effect. The results will also be documented in a published peer-reviewed academic journal. [REGISTRATION] We have registered at ClinicalTrials.gov(ChiCTR2000033801).",Du Yuzheng; Zhang Lili; Liu Wei; Rao Chang; Li Boxuan; Nan Xi; Li Zefang; Jiang Hailun,Medicine (Baltimore),2020,en,stroke_tcm.csv
PMID37468089,37468089,Effect of auricular acupuncture on neuroplasticity of stroke patients with motor dysfunction: A fNIRS study.,"Cerebral Stroke is an acute cerebrovascular disease, a disease of brain tissue damage caused by the sudden rupture or blockage of blood vessels in the brain that prevents blood flow to the brain. Acupuncture has become a popular treatment for stroke, with auricular acupuncture providing a new idea for stroke treatment. However, the neuromodulatory mechanism of auricular acupuncture in the brain is still unclear. The aim of this study was to investigate the effect of auricular acupuncture in the treatment of upper limb dysfunction and the activation of specific brain regions in stroke patients. Forty patients with stroke hemiplegia who met the nerf criteria were included in the experiment and randomly assigned into two groups (20 patients in each group): the auricular acupuncture group and the control group. Fugl-Meyer score (FMA) assessment of upper limb motor function, motor evoked potential (MEP) measurement, and functional near-infrared brain function imaging (fNIRS) data acquisition in the primary motor M1 area of the brain at rest were performed before and after treatment, respectively. It was found that: 1) after auricular acupuncture treatment, the patients in the auricular acupuncture group showed significantly greater peak MEP and significantly higher oxyhemoglobin content in the M1 region of the brain compared with the control group, with a significant activation effect (MEP: P-value = 0.032, t = -2.22; HbO2; f = 4.225, p = 0.046); 2) in the clinical efficacy assessment, the FMA score in the auricular acupuncture group after treatment (p = 0.0122, t = 2.769). The results suggest that auricular acupuncture has an ameliorative effect on upper limb motor deficits after stroke and that activation of the M1 region of the brain may be a key node in auricular acupuncture for treating upper limb dysfunction in stroke patients, a finding that emphasizes the potential for clinical application of auricular acupuncture therapy for stroke patients with potential mechanisms influencing the outcome.",Zhang Jin; Huang Wenhao; Chen Zhihong; Jiang Haoxiang; Su Minzhi; Wang Cong,Neurosci Lett,2023,en,stroke_tcm.csv
PMID38905930,38905930,Chinese herbal medicine and acupuncture for insomnia in stroke patients: A systematic review and meta-analysis of randomised controlled trials.,"[BACKGROUND] Insomnia is highly prevalent in stroke patients; however, there is no ideal intervention. This systematic review examined the effect and safety of Chinese herbal medicine (CHM) and acupuncture on sleep in adults with stroke. [METHODS] Six databases were searched from inception to June 2023 to identify randomised controlled trials (RCTs). The primary outcome was Pittsburgh Sleep Quality Index (PSQI) scores. Risk of bias and evidence quality was assessed. A pairwise random-effect meta-analysis was performed. [RESULTS] A total of 54 RCTs published in 55 articles were finally included in the systematic review, including 35 of CHM and 19 of acupuncture therapies. Compared with placebo/sham procedure, CHM and acupuncture were more effective in improving PSQI scores. The evidence of moderate quality suggested that CHM outperformed benzodiazepine drugs (BZDs) while it presented an effect similar to that of non-BZDs in improving sleep quality. CHM and acupuncture also provided additional benefits to the patients treated with pharmacological agents alone. However, the evidence specific to individual CHM prescriptions lay in various factors and methodological quality, and the evidence on the comparative effectiveness between acupuncture and other therapies was conflicting or limited. [CONCLUSIONS] Overall, CHM and acupuncture used alone or in combination with pharmacotherapy can safely improve sleep in stroke patients with insomnia. In the future, RCTs on outstanding CHM prescriptions and the comparative effectiveness research between acupuncture and other therapies are needed. [REGISTRATION] PROSPERO No. CRD42020194029 and No. CRD42020194030.",Su Qing; Wang Liyan; Yu Hongshen; Li Huishan; Zou Danmei; Ni Xiaojia,Sleep Med,2024,en,stroke_tcm.csv
PMID39367391,39367391,The neural plasticity and efficacy of acupuncture for post-stroke dysphagia: protocol for a randomized controlled trial with fMRI and DTI.,"[BACKGROUND] Dysphagia, a common complication of acute stroke, is associated with increased mortality and morbidity. Acupuncture, a widely used swallowing therapy in China, has been suggested as an effective therapy for treating Post-Stroke Dysphagia (PSD) by recent meta-analyses and guidelines. The use of resting-state functional Magnetic Resonance Imaging (rs-fMRI) and Diffusion Tensor Imaging (DTI) could explore the change of regional spontaneous neural activity, functional relationships between brain regions, and white matter connectivity patterns after acupuncture intervention for PSD. This trial aims to evaluate the efficacy of acupuncture treatment for PSD and explore its central mechanism by neuroimaging. [METHODS/DESIGN] This randomized controlled trial will recruit 40 PSD patients. All patients will be randomized to either the Real Acupuncture (RA) or Sham Acupuncture (SA) group by a ratio of 1:1. All patients will receive immediate acupuncture treatment in the MRI scanning room, followed by four weeks of long-term acupuncture treatment. The primary outcomes are the rs-fMRI and DTI indicators, which will be evaluated after the immediate and long-term acupuncture treatment. The secondary outcomes are the scales that assess the efficacy, including the Functional Oral Intake Scale (FOIS), Water Swallowing Test (WST), Swallowing Quality Of Life Questionnaire (SWAL-QOL), and National Institute of Health Stroke Scale (NIHSS). The modified version of the Massachusetts General Hospital Acupuncture Sensation Scale (M-MASS) and fMRI sensation record table will also be evaluated. [DISCUSSION] This protocol presents the design of a randomized, single-blind trial that will evaluate the efficacy and explore the neural plasticity of acupuncture treatment for PSD. This trial will deepen our insight into the clinical value of acupuncture for PSD and initially probe into the time-dosage-effect mechanism of acupuncture. [TRIAL REGISTRATION NUMBERS] Chinese Clinical Trial Registry ( www.chictr.org.cn ) ChiCTR2300067480. This study was registered on 9th January 2023.",Liu Wei; Ge Wenyi; Zhao Qi; Fan Xiaonong; Li Yibing; Jia Hongbo; Lei Kangchen; Li Songjiao; Li Li; Du Yuzheng; Liu Jian; Shen Yan; Yang Sha; Wang Shu; Jia Xize; Ren Lei; Liu Jihua,BMC Complement Med Ther,2024,en,stroke_tcm.csv
PMID40545007,40545007,"Therapeutic effect of acupuncture on post-stroke dysphagia: A multicenter, randomized controlled trial.","[BACKGROUND] Dysphagia is a common complication of stroke, significantly affecting patient prognosis and quality of life. Acupuncture is commonly used for treating post-stroke dysphagia in China, often combined with traditional swallowing rehabilitation training. However, the therapeutic effect of acupuncture alone on post-stroke dysphagia remains unclear. [OBJECTIVE] To compare the clinical efficacy of acupuncture and traditional swallowing rehabilitation training in patients with post-stroke dysphagia. [METHOD] A multicenter, evaluator-blind, randomized controlled trial was conducted to recruit participants with post-stroke dysphagia. The experimental group received acupuncture treatment, whereas the control group received traditional swallowing rehabilitation training for 2 weeks. The Standardized Swallowing Assessment score and modified Barthel Index were compared between groups 1 and 2 weeks after the intervention. Surface electromyography (sEMG) was used to quantitatively evaluate the electromyographic activity in the suprahyoid and infrahyoid hyoid muscle groups. [RESULT] Overall, 254 participants were included. After 1 week of intervention, there was no significant between-group difference in efficacy (p > 0.05). After 2 weeks of intervention, the Standardized Swallowing Assessment score of the experimental group showed a greater decrease (-1.56, 95 %CI [-2.83, -0.29], p < 0.05). There was no significant between-group difference in the modified Barthel Index (2.00, 95 %CI [-2.00, 6.00], p > 0.05). sEMG analysis showed that after 2 weeks of intervention, participants in the experimental group experienced greater increase in the root mean square value of the suprahyoid muscle group during fluid swallowing (1.02, 95 %CI [0.11, 2.27], p < 0.05). [CONCLUSION] Acupuncture may improve the swallowing function in patients with post-stroke dysphagia, offering therapeutic advantages for patients with pharyngeal phase dysphagia. [REGISTRATION] This study registered with the ClinicalTrials.gov Identifier: ChiCTR2000030994.",Zhang Shiqiang; Liang Biying; Tang Qiang; Gao Weibin; Li Hongyu; Wu Minmin; Wang Xue; Zhu Luwen,Complement Ther Med,2025,en,stroke_tcm.csv
