entity_name,entity_type,article_id,match_method,frequency
心肌梗死,Disease,PMID40888737,en_rule_disease,1
脑卒中,Disease,PMID40888737,en_dict_phrase,1
肿瘤,Drug,PMID38839268,en_dict_phrase,1
心肌梗死,Disease,PMID40888725,en_rule_disease,1
脑卒中,Disease,PMID40888725,en_dict_phrase,1
冠心病,Disease,PMID40902613,en_rule_disease,1
心肌梗死,Disease,PMID40902613,en_rule_disease,1
脑卒中,Disease,PMID40902613,en_dict_phrase,1
冠心病,Disease,PMID37407118,en_rule_disease,1
心肌梗死,Disease,PMID37407118,en_rule_disease,1
脑卒中,Disease,PMID37407118,en_dict_phrase,1
心肌梗死,Disease,PMID34824680,en_rule_disease,1
脑卒中,Disease,PMID34824680,en_dict_phrase,1
心肌梗死,Disease,PMID16102031,en_rule_disease,1
心肌梗死,Disease,PMID36335890,en_rule_disease,1
缺血性脑卒中,Disease,PMID36335890,en_rule_disease,1
脑卒中,Disease,PMID36335890,en_dict_phrase,1
心肌梗死,Disease,PMID37994553,en_rule_disease,1
缺血性脑卒中,Disease,PMID37994553,en_rule_disease,1
脑卒中,Disease,PMID37994553,en_dict_phrase,1
心肌梗死,Disease,PMID38862179,en_rule_disease,1
脑卒中,Disease,PMID38862179,en_dict_phrase,1
心肌梗死,Disease,PMID38548012,en_rule_disease,1
心肌梗死,Disease,PMID37879491,en_rule_disease,1
脑卒中,Disease,PMID37879491,en_dict_phrase,1
心肌梗死,Disease,PMID12765506,en_rule_disease,1
脑卒中,Disease,PMID12765506,en_dict_phrase,1
冠心病,Disease,PMID18855644,en_rule_disease,1
心肌梗死,Disease,PMID18855644,en_rule_disease,1
脑卒中,Disease,PMID18855644,en_dict_phrase,1
心肌梗死,Disease,PMID39780702,en_rule_disease,1
冠心病,Disease,PMID27928736,en_rule_disease,1
心肌梗死,Disease,PMID27928736,en_rule_disease,1
脑卒中,Disease,PMID27928736,en_dict_phrase,1
冠心病,Disease,PMID39253391,en_rule_disease,1
冠心病,Disease,PMID26110681,en_rule_disease,1
冠心病,Disease,PMID39455425,en_rule_disease,1
心肌梗死,Disease,PMID39455425,en_rule_disease,1
2型糖尿病,Disease,PMID31475798,en_rule_disease,1
糖尿病,Disease,PMID31475798,en_rule_disease,1
冠心病,Disease,PMID31475798,en_rule_disease,1
心肌梗死,Disease,PMID31475798,en_rule_disease,1
脑卒中,Disease,PMID31475798,en_dict_phrase,1
冠心病,Disease,PMID36118183,en_rule_disease,1
冠心病,Disease,PMID28590311,en_rule_disease,1
哮喘,Disease,PMID28590311,en_dict_phrase,1
冠心病,Disease,PMID35344187,en_rule_disease,1
冠心病,Disease,PMID34641745,en_rule_disease,1
心肌梗死,Disease,PMID34641745,en_rule_disease,1
缺血性脑卒中,Disease,PMID34641745,en_rule_disease,1
脑卒中,Disease,PMID34641745,en_dict_phrase,1
心肌梗死,Disease,PMID16168280,en_rule_disease,1
脑卒中,Disease,PMID16168280,en_dict_phrase,1
冠心病,Disease,PMID25872543,en_rule_disease,1
心肌梗死,Disease,PMID12512736,en_rule_disease,1
脑卒中,Disease,PMID12512736,en_dict_phrase,1
糖尿病,Disease,PMID40268181,en_rule_disease,1
心肌梗死,Disease,PMID40268181,en_rule_disease,1
脑卒中,Disease,PMID40268181,en_dict_phrase,1
心肌梗死,Disease,PMID16103468,en_rule_disease,1
缺血性脑卒中,Disease,PMID16103468,en_rule_disease,1
脑卒中,Disease,PMID16103468,en_dict_phrase,1
心肌梗死,Disease,PMID40471776,en_rule_disease,1
缺血性脑卒中,Disease,PMID40471776,en_rule_disease,1
脑卒中,Disease,PMID40471776,en_dict_phrase,1
冠心病,Disease,PMID40874494,en_rule_disease,1
心肌梗死,Disease,PMID40874494,en_rule_disease,1
脑卒中,Disease,PMID40874494,en_dict_phrase,1
心肌梗死,Disease,PMID39215959,en_rule_disease,1
脑卒中,Disease,PMID39215959,en_dict_phrase,1
冠心病,Disease,PMID40503099,en_rule_disease,1
冠心病,Disease,PMID30654618,en_rule_disease,1
脑卒中,Disease,PMID30654618,en_dict_phrase,1
糖尿病,Disease,PMID30654618,en_dict_phrase,1
冠心病,Disease,PMID20083870,en_rule_disease,1
脑卒中,Disease,PMID20083870,en_dict_phrase,1
冠心病,Disease,PMID12767950,en_rule_disease,1
心肌梗死,Disease,PMID12767950,en_rule_disease,1
心肌梗死,Disease,PMID36646196,en_rule_disease,1
脑卒中,Disease,PMID36646196,en_dict_phrase,1
冠心病,Disease,PMID26758864,en_rule_disease,1
冠心病,Disease,PMID15013918,en_rule_disease,1
心肌梗死,Disease,PMID15013918,en_rule_disease,1
脑卒中,Disease,PMID15013918,en_dict_phrase,1
冠心病,Disease,PMID38293935,en_rule_disease,1
心肌梗死,Disease,PMID38293935,en_rule_disease,1
冠心病,Disease,PMID35001413,en_rule_disease,1
冠心病,Disease,PMID15987620,en_rule_disease,1
冠心病,Disease,PMID32041910,en_rule_disease,1
心肌梗死,Disease,PMID32041910,en_rule_disease,1
脑卒中,Disease,PMID32041910,en_dict_phrase,1
冠心病,Disease,PMID27086572,en_rule_disease,1
心肌梗死,Disease,PMID27086572,en_rule_disease,1
糖尿病,Disease,PMID27086572,en_dict_phrase,1
脑卒中,Disease,PMID27086572,en_dict_phrase,1
糖尿病,Disease,PMID40884757,en_rule_disease,1
心肌梗死,Disease,PMID40884757,en_rule_disease,1
脑卒中,Disease,PMID40884757,en_dict_phrase,1
冠心病,Disease,PMID37246549,en_rule_disease,1
心肌梗死,Disease,PMID37246549,en_rule_disease,1
缺血性脑卒中,Disease,PMID37246549,en_rule_disease,1
脑卒中,Disease,PMID37246549,en_dict_phrase,1
冠心病,Disease,PMID31163978,en_rule_disease,1
心肌梗死,Disease,PMID31163978,en_rule_disease,1
心力衰竭,Disease,PMID31163978,en_rule_disease,1
脑卒中,Disease,PMID31163978,en_dict_phrase,1
冠心病,Disease,PMID27423939,en_rule_disease,1
冠心病,Disease,PMID40411761,en_rule_disease,1
心肌梗死,Disease,PMID40411761,en_rule_disease,1
脑卒中,Disease,PMID40411761,en_dict_phrase,1
冠心病,Disease,PMID39211768,en_rule_disease,1
心肌梗死,Disease,PMID39211768,en_rule_disease,1
心肌梗死,Disease,PMID29240976,en_rule_disease,1
脑卒中,Disease,PMID29240976,en_dict_phrase,1
中医,Drug,PMID41240536,en_rule_tcm,1
冠心病,Disease,PMID41240536,en_rule_disease,1
心肌梗死,Disease,PMID41240536,en_rule_disease,1
缺血性脑卒中,Disease,PMID41240536,en_rule_disease,1
脑卒中,Disease,PMID41240536,en_dict_phrase,1
冠心病,Disease,PMID10763203,en_rule_disease,1
心肌梗死,Disease,PMID10763203,en_rule_disease,1
心肌梗死,Disease,PMID38050293,en_rule_disease,1
心肌梗死,Disease,PMID22906900,en_rule_disease,1
缺血性脑卒中,Disease,PMID22906900,en_rule_disease,1
脑卒中,Disease,PMID22906900,en_dict_phrase,1
冠心病,Disease,PMID32289159,en_rule_disease,1
心肌梗死,Disease,PMID32289159,en_rule_disease,1
冠心病,Disease,PMID31764014,en_rule_disease,1
脑卒中,Disease,PMID31764014,en_dict_phrase,1
冠心病,Disease,PMID25541030,en_rule_disease,1
心肌梗死,Disease,PMID25541030,en_rule_disease,1
脑卒中,Disease,PMID25541030,en_dict_phrase,1
冠心病,Disease,PMID12885284,en_rule_disease,1
心肌梗死,Disease,PMID12885284,en_rule_disease,1
脑卒中,Disease,PMID12885284,en_dict_phrase,1
心肌梗死,Disease,PMID21249668,en_rule_disease,1
心力衰竭,Disease,PMID21249668,en_rule_disease,1
脑卒中,Disease,PMID21249668,en_dict_phrase,1
冠心病,Disease,PMID30989683,en_rule_disease,1
慢性肾病,Disease,PMID30989683,en_rule_disease,1
慢性阻塞性肺疾病,Disease,PMID30989683,en_rule_disease,1
代谢综合征,Disease,PMID30989683,en_rule_disease,1
慢性肾病,Drug,PMID30989683,en_dict_phrase,1
肿瘤,Drug,PMID30989683,en_dict_phrase,1
心肌梗死,Disease,PMID22195279,en_rule_disease,1
心肌梗死,Disease,PMID32886529,en_rule_disease,1
心肌梗死,Disease,PMID17636787,en_rule_disease,1
心力衰竭,Disease,PMID17636787,en_rule_disease,1
脑卒中,Disease,PMID17636787,en_dict_phrase,1
冠心病,Disease,PMID38708371,en_rule_disease,1
心肌梗死,Disease,PMID40365675,en_rule_disease,1
缺血性脑卒中,Disease,PMID40365675,en_rule_disease,1
脑卒中,Disease,PMID40365675,en_dict_phrase,1
冠心病,Disease,PMID17097412,en_rule_disease,1
糖尿病,Disease,PMID31018667,en_rule_disease,1
冠心病,Disease,PMID31018667,en_rule_disease,1
心肌梗死,Disease,PMID31018667,en_rule_disease,1
缺血性脑卒中,Disease,PMID31018667,en_rule_disease,1
脑卒中,Disease,PMID31018667,en_dict_phrase,1
冠心病,Disease,PMID36869784,en_rule_disease,1
心肌梗死,Disease,PMID36869784,en_rule_disease,1
脑卒中,Disease,PMID36869784,en_dict_phrase,1
冠心病,Disease,PMID31923049,en_rule_disease,1
冠心病,Disease,PMID40506945,en_rule_disease,1
心肌梗死,Disease,PMID40988628,en_rule_disease,1
缺血性脑卒中,Disease,PMID40988628,en_rule_disease,1
脑卒中,Disease,PMID40988628,en_dict_phrase,1
冠心病,Disease,PMID41954770,en_rule_disease,1
心肌梗死,Disease,PMID37313939,en_rule_disease,1
脑卒中,Disease,PMID37313939,en_dict_phrase,1
冠心病,Disease,PMID33343818,en_rule_disease,1
心肌梗死,Disease,PMID33343818,en_rule_disease,1
脑卒中,Disease,PMID33343818,en_dict_phrase,1
冠心病,Disease,PMID40025460,en_rule_disease,1
冠心病,Disease,PMID40874365,en_rule_disease,1
心肌梗死,Disease,PMID40874365,en_rule_disease,1
心力衰竭,Disease,PMID40874365,en_rule_disease,1
